galaxy,M_bary,r_half,outer_median_accuracy,chi2,n_points,max_v_obs,max_v_model
CamB,2500000000.0,,,,9,20.1,
D512-2,5000000000.0,,,,4,37.2,
D564-8,3500000000.0,1.68,44.963604108706015,4.039759787801006,6,25.0,11.118547567016117
D631-7,1500000000.0,3.36,39.155360938775544,24.17734603344526,16,58.5,28.4097747263156
DDO064,2500000000.0,1.68,59.04305561847012,8.516481705509651,14,46.9,28.06586895145063
DDO154,1500000000.0,1.68,38.93900595654556,20.57675439849765,12,48.2,19.522832786253133
DDO161,5000000000.0,3.36,57.051306638707054,18.172981701811835,31,67.5,37.29874662773542
DDO168,3000000000.0,1.68,53.88338342082595,14.088069465890339,10,55.0,28.554554803043246
DDO170,3500000000.0,,,,8,62.2,
ESO079-G014,2500000000.0,25.2,75.34412936659514,33.3776676028929,15,178.0,137.82880722116457
ESO116-G012,1500000000.0,15.12,57.338514445195045,46.939568901492706,15,112.0,69.97198367918647
ESO444-G084,3000000000.0,1.68,36.18187159095355,40.17862521698247,7,63.1,23.545838273461406
ESO563-G021,0.0,70.56,76.58236319692608,158.382733867112,30,321.0,283.74117473261595
F561-1,5000000000.0,3.36,90.8075358789055,0.7825739187727289,6,50.4,57.44964055588174
F563-1,2500000000.0,1.68,38.05089709981739,131.05040023638875,17,112.5,41.66533931262263
F563-V1,5000000000.0,,,,6,29.5,
F563-V2,5000000000.0,3.36,46.36385843059506,104.32762733764896,10,118.0,56.32932628746779
F565-V2,5000000000.0,,,,7,83.1,
F567-2,5000000000.0,1.68,77.55328181938171,4.877297037656094,5,52.2,40.974515250335955
F568-1,2500000000.0,3.36,46.369977182131116,141.4778886956177,12,142.0,68.87459400969377
F568-3,5000000000.0,3.36,57.904003431680586,45.892790790238905,18,120.0,62.645422817633936
F568-V1,5000000000.0,5.04,43.98291446671499,121.44678688468679,15,118.0,53.23425400998895
F571-8,2500000000.0,137.76,62.052947458962095,91.6599022492334,13,144.0,114.57450894516144
F571-V1,5000000000.0,1.68,51.4924856095175,45.436282134786424,7,84.3,43.500929875118956
F574-1,5000000000.0,3.36,55.626143675475824,53.136290044991306,14,99.7,58.48278806623395
F574-2,5000000000.0,1.68,83.94884256511975,2.128317611243403,5,40.0,45.964021799664565
F579-V1,5000000000.0,8.4,67.39380937513384,59.62519797870757,14,114.0,77.96495238246534
F583-1,2500000000.0,1.68,41.455139568259035,42.910408806169436,25,86.9,43.17133308112954
F583-4,5000000000.0,3.36,63.544516297687046,14.467810225154958,12,69.9,41.7140899457246
IC2574,3500000000.0,1.68,58.58508785110026,14.284556565444786,34,67.5,36.232165267894565
IC4202,0.0,65.52,92.65327700524837,49.6168444139102,32,250.0,245.14915051579052
KK98-251,2500000000.0,,,,15,34.6,
NGC0024,1500000000.0,25.2,67.84749890650532,42.51231435222786,29,110.0,71.95229600228755
NGC0055,1500000000.0,8.4,67.74243023311158,19.809229669096535,21,87.4,58.59720215164152
NGC0100,500000000.0,10.08,57.54019105573628,28.368695937941567,21,91.2,56.365657097210224
NGC0247,1500000000.0,5.04,62.99857425948579,41.409112345933394,26,108.0,65.51851722986522
NGC0289,2500000000.0,265.44,58.629265697717244,123.87667477739767,28,194.0,226.56021208512195
NGC0300,5000000000.0,23.52,51.585528345679,52.18711644834536,25,97.0,52.38436885178922
NGC0801,0.0,136.07999999999998,90.45844240446876,56.965646684458925,13,238.0,281.6428865827562
NGC0891,0.0,270.48,95.93942309814702,195.1338911118593,18,234.0,361.79476029945846
NGC1003,2500000000.0,23.52,42.1782994454863,92.74942701845319,36,115.0,81.69283750734269
NGC1090,1500000000.0,47.04,79.69110719974421,26.444885475474162,24,176.0,171.96749983655306
NGC1705,5000000000.0,57.12,36.23780272216482,57.96704039041656,14,73.2,46.9828362277153
NGC2366,2500000000.0,5.04,59.50691588718227,10.70723541686019,26,53.7,30.411933513014315
NGC2403,1500000000.0,57.12,59.79414885014223,57.4430582651677,73,136.0,106.99600226178697
NGC2683,2500000000.0,189.84,74.6371645319605,43.87199759843517,11,212.0,238.813443508158
NGC2841,0.0,164.64,58.30359119669042,308.8240657463308,50,323.0,289.93130214710993
NGC2903,1500000000.0,105.83999999999999,79.4219453642507,151.09584900423403,34,216.0,300.9561446457104
NGC2915,2000000000.0,57.12,32.21948649445058,95.09147277591963,30,86.5,49.475012885297176
NGC2955,0.0,162.96,94.19444404549108,77.92063621041753,24,276.0,324.85933983992203
NGC2976,5000000000.0,50.4,95.23461477721949,0.5430365113889438,27,88.7,85.65192000183374
NGC2998,0.0,78.96,80.77443226897442,49.32206175005942,13,214.0,222.22022813102407
NGC3109,2500000000.0,1.68,36.83383841464166,35.968752536905015,25,67.3,23.850670850104002
NGC3198,1500000000.0,28.56,64.95209423458634,56.56821594421785,43,157.0,142.8058657759084
NGC3521,2500000000.0,374.64,78.85008581882629,110.3162717558801,41,220.0,283.046509959726
NGC3726,1000000000.0,31.919999999999998,77.13552880896644,49.87350150713271,12,169.0,184.26608695042611
NGC3741,2000000000.0,6.72,30.994605979491542,25.1526060203352,21,51.6,14.68077654621859
NGC3769,1000000000.0,104.16,57.2760550508818,59.764972470416886,12,126.0,137.9797380055255
NGC3877,500000000.0,99.11999999999999,83.11865469770832,33.89355865837932,13,171.0,203.86472696638467
NGC3893,1000000000.0,263.76,79.14975621934485,45.73021535825641,10,194.0,213.28767076736204
NGC3917,1000000000.0,18.48,79.00902358919363,27.059365905141814,17,138.0,111.3441242275684
NGC3949,1000000000.0,176.4,91.23553843952286,41.029203815277995,7,169.0,201.1626220254803
NGC3953,0.0,97.44,92.42724040714849,13.348845571904977,8,224.0,248.20406346946513
NGC3972,500000000.0,26.88,81.87852020534334,17.932248758679226,10,134.0,109.26379089165485
NGC3992,0.0,60.48,73.54996929724071,106.0419173711996,9,272.0,246.7319255803774
NGC4010,500000000.0,1.68,81.25238565306027,12.54063093718794,12,129.0,104.68091755425326
NGC4013,500000000.0,124.32,70.29463749009605,61.69186013886263,36,198.0,227.1421383209268
NGC4051,1500000000.0,52.08,83.07329499294389,35.24115604924829,7,161.0,197.78247369281144
NGC4068,3000000000.0,5.04,81.97128091631684,1.4560178179023957,6,41.9,30.093715290738043
NGC4085,1000000000.0,142.79999999999998,83.90757806591901,44.98608833129357,7,136.0,157.02880309124373
NGC4088,0.0,75.6,87.94075204500959,103.18945758930455,12,182.0,266.02056940370795
NGC4100,1000000000.0,63.839999999999996,76.92899915142418,34.4748673310974,24,195.0,208.15997814197922
NGC4138,1500000000.0,319.2,81.26396900454563,39.7426641585764,7,195.0,230.3894322666955
NGC4157,0.0,141.12,83.98956695616957,64.02404315198494,17,201.0,254.82770596953043
NGC4183,1000000000.0,13.44,63.99801885599858,44.25875513922465,23,115.0,87.84098929316292
NGC4214,5000000000.0,60.48,46.37377199701298,44.848552762610225,14,80.6,59.57048346287221
NGC4217,1000000000.0,80.64,93.80417585493524,165.93790567763403,19,191.0,282.45307734207984
NGC4389,2000000000.0,33.6,39.0067611988125,131.7803733328032,6,110.0,154.39251601033882
NGC4559,500000000.0,35.28,72.22108148808628,22.90897843383666,32,124.0,117.5990412376675
NGC5005,0.0,299.03999999999996,85.4448687231515,130.0952603508219,18,265.0,326.41825943775956
NGC5033,0.0,341.03999999999996,66.98763382121875,149.61605459190085,22,225.0,305.632750307273
NGC5055,0.0,231.84,78.96763189796687,135.8000159932926,28,206.0,280.79080450498117
NGC5371,0.0,94.08,87.705161575136,50.7821910411804,19,242.0,301.06666322102046
NGC5585,1000000000.0,15.12,59.48688828511819,23.383326734729362,24,92.3,60.23344253818248
NGC5907,0.0,73.92,74.52873022322342,74.81052194335436,19,235.0,233.42847713348095
NGC5985,0.0,47.04,74.16542313403647,256.8419312861794,33,305.0,229.88952863685623
NGC6015,1000000000.0,55.44,59.131468630508685,74.92289068671049,44,166.0,150.0448882835557
NGC6195,0.0,114.24,84.7983765523887,76.90779480141131,23,258.0,298.20453128837033
NGC6503,1000000000.0,129.35999999999999,54.70215492581391,69.46514276596227,31,121.0,142.97079422049524
NGC6674,0.0,94.08,59.74335512379836,241.34945504104783,15,291.0,246.38772394825935
NGC6789,3500000000.0,8.4,45.114555674038726,19.975374195728502,4,60.4,24.445322660991827
NGC6946,1000000000.0,95.75999999999999,92.13872876852143,29.80472562410278,58,181.0,234.4451545671183
NGC7331,0.0,414.96,89.78084782678862,200.03902658416982,36,257.0,384.64653880850545
NGC7793,4500000000.0,38.64,86.5769774418141,5.2778973048888815,46,116.0,99.5130770301121
NGC7814,500000000.0,453.59999999999997,70.56933590015606,114.30750496200871,18,265.0,347.4947778025006
PGC51017,1500000000.0,1.68,84.791591897866,0.8180840470343741,6,20.5,23.590398470564246
UGC00128,5000000000.0,3.36,43.10366546613802,169.5893772216714,22,134.0,64.19489387801846
UGC00191,2500000000.0,8.4,61.30108021564058,22.717598071125863,9,83.85,49.65387497466887
UGC00634,4000000000.0,3.36,45.265235255657245,95.1116592446526,4,108.0,52.33844953760104
UGC00731,1500000000.0,3.36,50.31950024606361,52.319093372538624,12,74.0,38.33339144923167
UGC00891,2500000000.0,1.68,47.229965641387814,26.08954587556974,5,63.75,29.751100819969675
UGC01230,5000000000.0,3.36,54.63290734675487,76.51019918651097,11,113.0,61.02819430394517
UGC01281,500000000.0,1.68,51.52225646359284,13.633560135282176,25,56.9,27.403366581498783
UGC02023,5000000000.0,3.36,82.9008879032344,3.129819517147222,5,58.8,41.417060494438765
UGC02259,1500000000.0,6.72,51.69821563646795,61.13989004774813,8,90.0,46.31791230183005
UGC02455,2500000000.0,42.0,41.534157458476294,50.064347553712565,8,61.0,78.76471608531662
UGC02487,0.0,136.07999999999998,60.76324298282405,479.6358499354575,17,383.0,332.2621445506751
UGC02885,0.0,70.56,68.6796660146917,192.32024118951387,19,305.0,282.11621048962155
UGC02916,0.0,406.56,94.48033587380944,63.912666928948354,43,218.0,286.3014680180312
UGC02953,0.0,258.71999999999997,79.76034818172012,154.85525418098828,115,319.0,337.41312072088544
UGC03205,0.0,97.44,85.50823812678321,45.27047534481949,48,237.0,237.60333804010534
UGC03546,0.0,403.2,86.73647235233278,208.0442930334164,30,262.0,397.97377319203633
UGC03580,2000000000.0,102.47999999999999,75.15563636720958,61.60532039603018,47,131.0,122.52723248324446
UGC04278,1500000000.0,5.04,52.83120207044809,30.618203490988304,25,92.8,52.11115043827019
UGC04305,5000000000.0,11.76,82.93679380566492,0.9821097108083167,22,37.3,39.94081871970094
UGC04325,1500000000.0,6.72,60.59217769758902,49.931811451667315,8,92.7,56.10579025376996
UGC04483,1500000000.0,3.36,60.439752161967654,2.004787735048506,8,24.3,14.314258625580303
UGC04499,1500000000.0,5.04,62.565243943325534,18.49438246193432,9,74.3,46.24896971825463
UGC05005,5000000000.0,3.36,49.279743155058,45.18666769968834,11,100.0,49.133471279770276
UGC05253,0.0,248.64,86.02213277363518,77.80089666316506,73,248.0,290.59714540988904
UGC05414,1500000000.0,5.04,71.02732599491912,6.242349041576581,6,61.4,41.50478165223867
UGC05716,5000000000.0,3.36,45.02603759395917,48.610622335865706,12,74.7,33.687767809696204
UGC05721,2500000000.0,38.64,41.02062780624301,54.74053496440203,23,82.6,46.08581235044317
UGC05750,5000000000.0,,,,11,78.9,
UGC05764,5000000000.0,,,,10,55.8,
UGC05829,5000000000.0,1.68,58.50490641314548,17.457835670295353,11,68.6,40.07649810050776
