r_kpc,kT_keV,kT_err_keV
0.895,3.18,0.18
2.685,3.18,0.18
4.475,3.18,0.18
6.265,3.1865,0.1473
8.055,3.1952,0.10412
9.845,3.2038,0.06094
11.635,3.2156,0.02814
13.425,3.2353,0.021577
15.215,3.2899,0.02
17.005,3.3536,0.021937
18.795,3.4099,0.029859
20.585,3.4017,0.021655
22.375,3.4157,0.02
24.165,3.4429,0.022145
25.955,3.4897,0.029958
27.745,3.5798,0.03
29.535,3.6509,0.03
31.325,3.7059,0.031969
33.115,3.7294,0.039783
34.905,3.7778,0.032024
36.695,3.8147,0.03
38.485,3.8467,0.03
40.275,3.8683,0.03
42.065,3.8618,0.03
43.855,3.902,0.035995
45.645,3.9594,0.035801
47.435,4.0115,0.03
49.225,4.0509,0.03
51.015,4.1458,0.035048
52.805,4.2569,0.041679
54.595,4.3662,0.048515
56.385,4.4741,0.045571
58.175,4.5815,0.040087
59.965,4.6777,0.045745
61.755,4.7631,0.048547
63.54499999999999,4.8158,0.042687
65.33500000000001,4.8928,0.042401
67.12499999999999,4.9904,0.046836
68.915,5.0752,0.05127
70.70499999999998,5.1284,0.055704
72.49,5.1826,0.06
74.275,5.2744,0.06
76.065,5.3665,0.06
77.855,5.4311,0.06
79.645,5.4712,0.06
81.435,5.5114,0.06
83.225,5.5545,0.06
85.015,5.5986,0.06
86.80499999999999,5.645,0.06
88.59500000000001,5.6975,0.06
90.385,5.75,0.06
92.175,5.8056,0.060601
93.965,5.8713,0.063125
95.755,5.9369,0.065649
97.545,6.0025,0.068174
99.335,6.0658,0.07
101.125,6.1227,0.07
102.915,6.1796,0.07
104.705,6.2365,0.07
106.495,6.2934,0.07
108.285,6.3504,0.07
110.075,6.4073,0.07
111.865,6.4642,0.07
113.655,6.5212,0.07
115.445,6.5781,0.07
