r_kpc,C
486.655,1.1350502689675797
469.58,1.1281255076653347
452.505,1.1211945328657928
435.43,1.1142716057927016
418.35,1.1073700193311065
401.275,1.1005101613201531
384.2,1.0937073599048381
367.12500000000006,1.0869799378126501
350.04999999999995,1.0803471329829217
332.975,1.0738290273524613
315.90000000000003,1.0674464584212437
298.825,1.0612209130590184
281.75,1.0551744033450885
264.67,1.049327644736927
247.595,1.0437066854108832
230.52,1.0383324515983299
213.445,1.033227470896659
196.37,1.0284139280382694
179.295,1.0239134530953473
162.22,1.0197469030640418
145.14,1.015933077576131
128.065,1.012492861158267
110.99,1.0094423006632673
93.915,1.0067969751663826
76.83999999999999,1.004570634393909
59.765,1.0027750244172433
42.69,1.0014197354264163
25.615,1.00051207519611
8.540000000000001,1.0000569713202976
