Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Mass_Category,Boundary_kpc,Outer_Points_Count,Avg_GR_Percent_Off,Median_GR_Percent_Off,Avg_Model_Percent_Off,Median_Model_Percent_Off,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer,Model
CamB,Im,dwarf irregular,2500000000.0,dwarf,0.895,5,26.242389139084388,18.406768789161756,88.06958011102606,87.21753987734438,0.7132584745860614,0.8140181295434543,0.28530338983442455,0.3256072518173817,shell
D512-2,Im,dwarf irregular,5000000000.0,dwarf,1.915,3,38.314883441817045,39.697967954766376,27.336281230963195,28.68997480231054,2.750021604401537,2.647230228987692,0.6038242746230302,0.6185026994489916,shell
D564-8,Im,dwarf irregular,3500000000.0,dwarf,2.456,2,56.725497303354274,56.725497303354274,31.577003433750463,31.577003433750463,5.3644017935627275,5.3644017935627275,2.145760717425091,2.145760717425091,shell
D631-7,Im,dwarf irregular,1500000000.0,dwarf,5.752000000000001,4,63.86855721861483,63.97288583379262,42.87117283138681,43.03613085593332,7.707141008604561,7.683712423669903,3.0828564034418244,3.073484969467961,shell
DDO064,Im,dwarf irregular,2500000000.0,dwarf,2.384,1,40.15806193720549,40.15806193720549,5.38158806142254,5.38158806142254,2.7924711784921272,2.7924711784921272,1.116988471396851,1.116988471396851,shell
DDO154,Im,dwarf irregular,1500000000.0,dwarf,3.2,6,60.36876128081434,61.06099404345446,37.33750957675954,38.43202567722628,6.608751767482403,6.444992862930949,2.643500706992961,2.5779971451723798,shell
DDO161,Im,dwarf irregular,5000000000.0,dwarf,6.4,15,44.87563172227298,43.585515458952166,14.454914502941891,17.61346509134481,3.1420909461027886,3.3723343547686815,0.722912791814167,0.7748520144805872,shell
DDO168,Im,dwarf irregular,3000000000.0,dwarf,3.2,3,47.433802088728974,47.98137848946438,16.885543332598946,17.75133764223945,3.6955775613623225,3.6223738008946547,1.478231024544929,1.4489495203578617,shell
DDO170,Im,dwarf irregular,3500000000.0,dwarf,6.165,5,46.76955368261384,44.69098846770884,15.835274384868773,12.548774212720199,3.2689494595621733,3.5819180979629275,1.3075797838248693,1.432767239185171,shell
ESO079-G014,Sbc,spiral,2500000000.0,dwarf,13.336000000000002,3,23.963857604988334,24.05645493466719,20.223697230563605,20.077287997046266,1.7338769272805243,1.733946233068153,0.6935507709122097,0.6935784932272613,shell
ESO116-G012,Sd,spiral,1500000000.0,dwarf,7.888,3,46.160599691047224,45.434949122999605,14.872433583068045,13.725079292855302,3.3586973455496034,3.46371337211515,1.3434789382198413,1.38548534884606,shell
ESO444-G084,Im,dwarf irregular,3000000000.0,dwarf,3.2,2,70.73520343824904,70.73520343824904,53.728293801701284,53.728293801701284,11.935736767717167,11.935736767717167,4.774294707086867,4.774294707086867,shell
ESO563-G021,Sbc,spiral,0.0,ultra-light,33.928,0,,,,,2.3991156353704564,2.36057549793324,,,shell
F561-1,Sm,dwarf irregular,5000000000.0,dwarf,6.4,3,8.039824698056117,9.192464121094387,118.86348169219241,122.6229722332256,0.8387154950158507,0.8758047243966204,0.20177160405324293,0.21241411229531795,shell
F563-1,Sm,dwarf irregular,2500000000.0,dwarf,8.040000000000001,10,61.99403395141811,62.069197489842765,39.907291305725806,40.02613529493554,6.950707265739194,6.968357073259429,2.7802829062956773,2.787342829303772,shell
F563-V1,Im,dwarf irregular,5000000000.0,dwarf,3.935,3,6.225840147349171,4.864710048545183,121.42796586448878,119.87925730494125,0.9093713746354138,0.9033609649825524,0.2068385465228135,0.20693066982435349,shell
F563-V2,Im,dwarf irregular,5000000000.0,dwarf,6.4,4,53.18230918456771,53.53936074754696,3.2186740076458373,2.881502786676016,4.632711883673361,4.565937758290131,1.0602218106062256,1.0687330549546241,shell
F565-V2,Im,dwarf irregular,5000000000.0,dwarf,4.4,4,60.31175772794417,60.02442723435198,17.411911309261534,16.074627584030885,6.259142764031207,6.364841110995273,1.4199898549682266,1.4753736598538818,shell
F567-2,Sm,dwarf irregular,5000000000.0,dwarf,3.8360000000000003,3,24.972621597356078,22.446718180618372,59.92243118103081,65.50162545400354,1.662645414371041,1.7946600890969322,0.365086246872773,0.3981003886019039,shell
F568-1,Sc,spiral,2500000000.0,dwarf,6.4,5,53.47857377411367,53.13452968664129,26.443166563354122,25.899185097390664,4.552962157179461,4.636041303894184,1.8211848628717846,1.854416521557674,shell
F568-3,Sd,spiral,5000000000.0,dwarf,7.192,6,42.17843026028395,40.67163318999014,21.85799225082774,23.598288686359815,2.845943378710631,3.0300747903678515,0.6546122128452412,0.6776259171683549,shell
F568-V1,Sd,spiral,5000000000.0,dwarf,9.600000000000001,3,55.18893047120128,54.15108195990215,8.354273666874688,8.655860798963673,4.757094918850432,5.025489865105217,1.19850161893546,1.1951713303371265,shell
F571-8,Sc,spiral,2500000000.0,dwarf,12.440000000000001,1,60.71798837744944,60.71798837744944,37.889686099766855,37.889686099766855,6.480560365954144,6.480560365954144,2.5922241463816578,2.5922241463816578,shell
F571-V1,Sd,spiral,5000000000.0,dwarf,5.436,5,48.22575597967745,47.271600151371196,8.638985135688179,10.85660878662176,3.596754669069769,3.770873165398643,0.8137234318997146,0.8503259549125314,shell
F574-1,Sd,spiral,5000000000.0,dwarf,6.4,7,43.598376866782864,44.37385632452429,17.174226959644184,15.762488616246396,3.231782267013743,3.1492352096335354,0.7462155433980309,0.7322798819054998,shell
F574-2,Sm,dwarf irregular,5000000000.0,dwarf,4.332,3,18.551537900638124,16.051157434880025,152.23831751782018,150.33917471588623,0.7425078466063582,0.7143289567934344,0.15956673827144144,0.15733709718182587,shell
F579-V1,Sc,spiral,5000000000.0,dwarf,12.128,2,35.47450616261321,35.47450616261321,29.925092891958908,29.925092891958908,2.4066946644674454,2.4066946644674454,0.5927765269220285,0.5927765269220285,shell
F583-1,Sm,dwarf irregular,2500000000.0,dwarf,6.504000000000001,5,54.27928414281878,54.42182898177859,27.709200818964813,27.934583998872267,4.813779717788827,4.88281777783926,1.9255118871155308,1.953127111135704,shell
F583-4,Sc,spiral,5000000000.0,dwarf,5.832000000000001,3,39.42212318405443,37.92546139029081,22.270736637736544,24.76481190593154,2.595212949766885,2.737961724935632,0.6424151400901497,0.6711156719758384,shell
IC2574,Sm,dwarf irregular,3500000000.0,dwarf,4.0920000000000005,22,39.50864884563097,39.27631946250414,7.899832727498839,7.003401467423942,2.7123139719822906,2.7966533919574403,1.0849255887929163,1.1186613567829764,shell
IC4202,Sbc,spiral,0.0,ultra-light,20.72,0,,,,,1.423318571055066,1.4271264339675869,,,shell
KK98-251,Im,dwarf irregular,2500000000.0,dwarf,1.565,7,33.52745559266886,34.47547915320882,5.401457231942046,3.6033642335225013,2.3291222937808156,2.2807691548756956,0.9316489175123263,0.9123076619502781,shell
NGC0024,Sc,spiral,1500000000.0,dwarf,9.016,2,57.2193450422707,57.2193450422707,32.35784526990051,32.35784526990051,5.495377592948973,5.495377592948973,2.198151037179589,2.198151037179589,shell
NGC0055,Sm,dwarf irregular,1500000000.0,dwarf,10.8,5,33.37798863945183,33.75867454378503,5.338649100472742,4.736731835065796,2.2789876527436443,2.253857907259435,0.9115950610974577,0.901543162903774,shell
NGC0100,Scd,spiral,500000000.0,ultra-light,7.696,5,47.62755517017901,47.938523855724966,35.857116792437786,36.23797409522359,3.6894960034807314,3.6619048096330595,2.4596640023204874,2.4412698730887064,shell
NGC0247,Sd,spiral,1500000000.0,dwarf,9.600000000000001,10,38.83205067303914,38.0359895497618,4.070736929450879,2.4485984433970236,2.6045996034371317,2.691342307568259,1.0418398413748526,1.0765369230273036,shell
NGC0289,Sbc,spiral,2500000000.0,dwarf,56.89600000000001,5,44.564044180341014,43.09787502535298,12.348057670705552,10.029840688282256,3.088467457884587,3.27979910416069,1.2353869831538349,1.3119196416642762,shell
NGC0300,Sd,spiral,5000000000.0,dwarf,9.440000000000001,6,53.31373270072087,53.10844625344727,5.942620533679569,5.456556048854322,4.548003291390216,4.602373094874547,1.1187611337908108,1.1324410737388297,shell
NGC0801,Sc,spiral,0.0,ultra-light,47.856,0,,,,,1.5134569393589383,1.5134569393589383,,,shell
NGC0891,Sb,spiral,0.0,ultra-light,13.688,0,,,,,1.032276781573294,1.0288893806371426,,,shell
NGC1003,Scd,spiral,2500000000.0,dwarf,24.192,8,60.14229590050137,60.4104906401363,36.97943637027692,37.403489487138025,6.380635323922813,6.31978778457515,2.5522541295691252,2.5279151138300597,shell
NGC1090,Sbc,spiral,1500000000.0,dwarf,24.072000000000003,5,24.239285779496562,24.471104820663985,19.78820704894944,19.42166896140675,1.7529669821147804,1.7442869996723516,0.7011867928459121,0.6977147998689406,shell
NGC1705,BCD,dwarf BCD,5000000000.0,dwarf,4.800000000000001,3,65.75317056482874,66.16946059473794,30.81323312347531,31.2212696909499,8.737398732246364,8.535022146030299,2.113935302472379,2.090074165009782,shell
NGC2366,Im,dwarf irregular,2500000000.0,dwarf,4.848,6,39.71606639953746,39.77434494663527,4.6827317540916775,4.774878227868917,2.7570314850470963,2.7546126446996375,1.1028125940188387,1.101845057879855,shell
NGC2403,Scd,spiral,1500000000.0,dwarf,16.696,9,52.86660297434125,52.625346513365535,25.47555576895629,25.094095810498903,4.455617562976938,4.515927141341698,1.7822470251907752,1.8063708565366794,shell
NGC2683,Sb,spiral,2500000000.0,dwarf,27.695999999999998,3,31.070519660957814,31.073118111826485,8.987077901584327,8.98296939001781,2.104857675087318,2.1062600538504976,0.8419430700349272,0.8425040215401992,shell
NGC2841,Sb,spiral,0.0,ultra-light,50.912000000000006,0,,,,,4.472974734147891,4.438966933018203,,,shell
NGC2903,Sbc,spiral,1500000000.0,dwarf,19.968000000000004,6,27.928077787792166,26.895845218818266,13.955714768529026,15.587817765011218,1.8715572990359768,1.9313944137079233,0.7486229196143908,0.7725577654831693,shell
NGC2915,BCD,dwarf BCD,2000000000.0,dwarf,8.032,6,69.06100675179171,69.20411131608475,51.0811564115453,51.30742459491128,10.54476791954789,10.462319794143452,4.217907167819156,4.184927917657381,shell
NGC2955,Sb,spiral,0.0,ultra-light,28.344,0,,,,,1.146022480915928,1.146022480915928,,,shell
NGC2976,Sc,spiral,5000000000.0,dwarf,1.816,3,5.1080984093017205,6.824838461423837,91.66386219061805,89.81987356336097,1.1518599846970423,1.1153204584900125,0.27753428461802937,0.27309619970619975,shell
NGC2998,Sc,spiral,0.0,ultra-light,33.824000000000005,0,,,,,1.928015903196631,1.928015903196631,,,shell
NGC3109,Sm,dwarf irregular,2500000000.0,dwarf,3.2,13,62.183808074916215,63.166161585358346,40.20735054133384,41.76058782156341,7.370654309299297,7.083938442840282,2.948261723719719,2.833575377136112,shell
NGC3198,Sc,spiral,1500000000.0,dwarf,35.264,5,46.088554677143215,46.42315591393776,14.75852041407045,15.28757142216051,3.48374006901831,3.4455273852469808,1.3934960276073238,1.3782109540987926,shell
NGC3521,Sbc,spiral,2500000000.0,dwarf,14.192,2,22.582297500415986,22.582297500415986,22.408135557998122,22.408135557998122,1.6759835972164974,1.6759835972164974,0.670393438886599,0.670393438886599,shell
NGC3726,Sc,spiral,1000000000.0,dwarf,26.016000000000005,3,33.33741686898143,33.97777487097992,5.4027987021687425,4.390303800053798,2.294138777041937,2.2593798833662055,0.9176555108167748,0.9037519533464823,shell
NGC3741,Im,dwarf irregular,2000000000.0,dwarf,5.6000000000000005,4,71.63198733554916,71.41140577812664,55.14623364391672,54.79746357827551,12.23745826781483,12.457501986661054,4.894983307125932,4.983000794664421,shell
NGC3769,Sb,spiral,1000000000.0,dwarf,29.727999999999998,3,50.09695976556552,50.078553365800616,21.096365346082013,21.067262272691664,4.012598219724964,4.016053941222192,1.6050392878899857,1.6064215764888772,shell
NGC3877,Sc,spiral,500000000.0,ultra-light,9.08,3,16.34249527509534,16.109632150828443,42.48987441307318,42.204676495891086,0.7417601566581024,0.7396274064947398,0.4945067711054016,0.4930849376631599,shell
NGC3893,Sc,spiral,1000000000.0,dwarf,15.240000000000002,3,22.906845165150326,23.752842248232966,21.894980643073513,20.55734180487359,1.720095982700382,1.68433704901605,0.6880383930801528,0.67373481960642,shell
NGC3917,Scd,spiral,1000000000.0,dwarf,11.888,4,27.167858551705493,27.2329183304456,15.157726922082604,15.054858379639933,1.8908649301184286,1.8964070164300777,0.7563459720473715,0.7585628065720311,shell
NGC3949,Sbc,spiral,1000000000.0,dwarf,5.656000000000001,2,4.025286751699722,4.025286751699722,57.99387791230006,57.99387791230006,1.0064085696402545,1.0064085696402545,0.4025634278561018,0.4025634278561018,shell
NGC3953,Sbc,spiral,0.0,ultra-light,12.544,0,,,,,0.918584629163388,0.918584629163388,,,shell
NGC3972,Sbc,spiral,500000000.0,ultra-light,6.976000000000001,3,23.20795664077403,24.024242942215757,6.136203864471007,6.949081193385438,1.7324069902178247,1.7084613113765545,1.1549379934785498,1.1389742075843696,shell
NGC3992,Sbc,spiral,0.0,ultra-light,36.816,0,,,,,2.165987905368171,2.165987905368171,,,shell
NGC4010,Sd,spiral,500000000.0,ultra-light,4.188000000000001,8,14.585738319277421,18.610587941796815,7.770793157468872,2.3023655316841594,1.5096086896613097,1.3651213927871937,1.0064057931075399,0.9100809285247959,shell
NGC4013,Sb,spiral,500000000.0,ultra-light,24.808000000000003,9,35.040062263690785,35.88396062458076,20.440649411538345,21.474209601014106,2.432577167702762,2.3764951246767905,1.6217181118018413,1.5843300831178602,shell
NGC4051,Sbc,spiral,1500000000.0,dwarf,9.752,2,16.737919125690063,16.737919125690063,84.57885687285636,84.57885687285636,0.7355586328163011,0.7355586328163011,0.29422345312652043,0.29422345312652043,shell
NGC4068,Im,dwarf irregular,3000000000.0,dwarf,1.864,2,23.10300477962437,23.10300477962437,21.584825059734257,21.584825059734257,1.713399852886465,1.713399852886465,0.6853599411545859,0.6853599411545859,shell
NGC4085,Sc,spiral,1000000000.0,dwarf,4.960000000000001,2,9.045383581067004,9.045383581067004,72.41589022145001,72.41589022145001,0.8464830589254442,0.8464830589254442,0.3385932235701777,0.3385932235701777,shell
NGC4088,Sbc,spiral,0.0,ultra-light,17.184,0,,,,,1.000927404201456,1.0021232170080385,,,shell
NGC4100,Sbc,spiral,1000000000.0,dwarf,18.208000000000002,6,25.276356990224627,25.475665287447796,18.14845348810488,17.833319400207365,1.800842735884357,1.7944979474876261,0.7203370943537428,0.7177991789950503,shell
NGC4138,S0,lenticular,1500000000.0,dwarf,14.863999999999999,2,26.472112946744247,26.472112946744247,16.257797313947243,16.257797313947243,1.862233030707832,1.862233030707832,0.7448932122831329,0.7448932122831329,shell
NGC4157,Sb,spiral,0.0,ultra-light,23.688000000000002,0,,,,,1.7398053122992316,1.7428982337181333,,,shell
NGC4183,Scd,spiral,1000000000.0,dwarf,16.816,5,41.995152886535,41.490431664753686,8.286283895803669,7.488249573677682,2.921098568681016,2.991734972153832,1.1684394274724064,1.1966939888615329,shell
NGC4214,Im,dwarf irregular,5000000000.0,dwarf,4.5040000000000004,3,57.38716924374058,57.64359934769383,13.913482187812056,14.388302095997766,5.573935060734161,5.519970466984368,1.3643750825696428,1.3511782469446738,shell
NGC4217,Sb,spiral,1000000000.0,dwarf,13.376,4,9.7279230718212,9.537975795769583,42.73268610349061,43.033019117324535,1.222806433943521,1.23078157435165,0.4891225735774083,0.4923126297406599,shell
NGC4389,Sbc,spiral,2000000000.0,dwarf,4.256,2,45.02026808593103,45.02026808593103,129.29717701988454,129.29717701988454,0.4931525014741629,0.4931525014741629,0.19726100058966517,0.19726100058966517,shell
NGC4559,Scd,spiral,500000000.0,ultra-light,16.776,7,29.27630752412444,29.608196644954585,13.381520354295501,13.787999852902882,2.018161035772745,1.999807518454703,1.3454406905151632,1.3332050123031354,shell
NGC5005,Sbc,spiral,0.0,ultra-light,9.176,0,,,,,0.8584405199710798,0.8650467483737406,,,shell
NGC5033,Sc,spiral,0.0,ultra-light,35.672000000000004,0,,,,,2.6549760003177942,2.6787585657942623,,,shell
NGC5055,Sbc,spiral,0.0,ultra-light,43.672000000000004,0,,,,,2.0802931998620027,2.0717576027444013,,,shell
NGC5371,Sbc,spiral,0.0,ultra-light,36.992000000000004,0,,,,,1.0762797590360231,1.089185224321918,,,shell
NGC5585,Sd,spiral,1000000000.0,dwarf,8.768,4,45.63952525076252,45.45277189667478,14.0485425521695,13.753259572372926,3.3609450941724583,3.385464480009082,1.3443780376689833,1.3541857920036326,shell
NGC5907,Sc,spiral,0.0,ultra-light,40.264,0,,,,,2.211211475279571,2.189329307432476,,,shell
