Galaxy,Galaxy_Type,Radius_kpc,Boundary_kpc,In_Outer_Region,Observed_Speed_km_s,Baryonic_Speed_km_s,GR_Speed_km_s,GR_Percent_Off,G_Predicted,Predicted_Speed_km_s,Model_Percent_Off,Baryonic_Mass_Msun
CamB,,0.16,0.895,False,1.99,4.185940754478018,4.185940754478018,110.3487816320612,,,,
CamB,,0.41,0.895,False,4.84,10.375861410022784,10.375861410022784,114.37730185997488,,,,
CamB,,0.57,0.895,False,6.79,13.029570215475259,13.029570215475259,91.89352305560027,,,,
CamB,,0.73,0.895,False,8.87,15.299388876683931,15.299388876683931,72.4846547540466,,,,
CamB,,0.9,0.895,True,10.9,16.715648357153245,16.715648357153245,53.35457208397472,,,,
CamB,,1.06,0.895,True,12.9,17.420998823259247,17.420998823259247,35.04650250588563,,,,
CamB,,1.22,0.895,True,14.7,17.405795012006777,17.405795012006777,18.406768789161756,,,,
CamB,,1.47,0.895,True,16.8,17.835257217096704,17.835257217096704,6.162245339861327,,,,
CamB,,1.79,0.895,True,20.1,16.433386747715762,16.433386747715762,18.241856976538504,,,,
D512-2,,0.96,1.915,False,22.9,15.400288958328021,15.400288958328021,32.74982987629684,,,,
D512-2,,1.92,1.915,True,33.5,22.099266956168478,22.099266956168478,34.032038936810515,,,,
D512-2,,2.88,1.915,True,37.2,21.86815264259878,21.86815264259878,41.21464343387425,,,,
D512-2,,3.83,1.915,True,35.9,21.64842950423887,21.64842950423887,39.697967954766376,,,,
D564-8,,0.51,1.535,False,8.54,7.245032781154272,7.245032781154272,15.163550571964018,,,,
D564-8,,1.02,1.535,False,15.1,10.168800322555262,10.168800322555262,32.65695150625654,,,,
D564-8,,1.53,1.535,False,19.8,11.082585438425458,11.082585438425458,44.0273462705785,,,,
D564-8,,2.04,1.535,True,21.9,11.118547567016117,11.118547567016117,49.230376406319095,,,,
D564-8,,2.56,1.535,True,24.0,10.791264986089443,10.791264986089443,55.036395891293985,,,,
D564-8,,3.07,1.535,True,25.0,10.39635032114636,10.39635032114636,58.414598715414556,,,,
D631-7,,0.45,3.595,False,8.41,13.052206709978202,13.052206709978202,55.19865291293938,,,,
D631-7,,0.9,3.595,False,17.8,20.57645499108143,20.57645499108143,15.598061747648481,,,,
D631-7,,1.35,3.595,False,26.0,26.643340631384795,26.643340631384795,2.4743870437876745,,,,
D631-7,,1.8,3.595,False,30.9,28.40977472631559,28.40977472631559,8.058981468234334,,,,
D631-7,,2.25,3.595,False,34.7,28.156995578363823,28.156995578363823,18.855920523447203,,,,
D631-7,,2.69,3.595,False,38.8,27.869512015821158,27.869512015821158,28.171360783966083,,,,
D631-7,,3.14,3.595,False,42.5,27.03890715247197,27.03890715247197,36.3790419941836,,,,
D631-7,,3.59,3.595,False,45.6,26.289056658617476,26.289056658617476,42.348559959172206,,,,
D631-7,,4.04,3.595,True,48.8,25.52609057415569,25.52609057415569,47.692437348041615,,,,
D631-7,,4.49,3.595,True,51.8,24.616459940454476,24.616459940454476,52.477876562829195,,,,
D631-7,,4.94,3.595,True,54.8,23.785779364990336,23.785779364990336,56.59529312957967,,,,
D631-7,,5.39,3.595,True,56.6,22.912599154177162,22.912599154177162,59.51837605269052,,,,
D631-7,,5.84,3.595,True,58.4,22.092193191261025,22.092193191261025,62.17090206975852,,,,
D631-7,,6.29,3.595,True,58.5,21.303694515271285,21.303694515271285,63.583428179023436,,,,
D631-7,,6.74,3.595,True,57.7,20.562927807099843,20.562927807099843,64.3623434885618,,,,
D631-7,,7.19,3.595,True,57.3,19.850120906432785,19.850120906432785,65.35755513711555,,,,
DDO064,,0.1,1.49,False,6.29,1.96,1.96,68.83942766295708,,,,
DDO064,,0.3,1.49,False,13.9,6.31,6.31,54.6043165467626,,,,
DDO064,,0.49,1.49,False,15.6,9.67,9.67,38.01282051282051,,,,
DDO064,,0.69,1.49,False,18.4,14.140951170271396,14.140951170271396,23.147004509394577,,,,
DDO064,,0.89,1.49,False,22.5,15.274897708331798,15.274897708331798,32.111565740747565,,,,
DDO064,,1.09,1.49,False,26.5,17.146107429967888,17.146107429967888,35.29770781144193,,,,
DDO064,,1.29,1.49,False,35.3,19.671799612643476,19.671799612643476,44.272522343786186,,,,
DDO064,,1.48,1.49,False,40.5,22.844255295369116,22.844255295369116,43.594431369458974,,,,
DDO064,,1.68,1.49,True,44.2,25.09904380648793,25.09904380648793,43.214833016995634,,,,
DDO064,,1.88,1.49,True,46.3,26.6757792763398,26.6757792763398,42.38492596902851,,,,
DDO064,,2.08,1.49,True,46.4,27.395977806970134,27.395977806970134,40.95694438152988,,,,
DDO064,,2.27,1.49,True,46.3,27.55252801468497,27.55252801468497,40.49130018426572,,,,
DDO064,,2.37,1.49,True,46.4,27.75392224533318,27.75392224533318,40.18551240229918,,,,
DDO064,,2.98,1.49,True,46.9,28.065868951450625,28.065868951450625,40.15806193720549,,,,
DDO154,,0.49,2.96,False,13.8,12.865601423952167,12.865601423952167,6.771004174259661,,,,
DDO154,,0.99,2.96,False,21.6,16.350966332299752,16.350966332299752,24.301081794908562,,,,
DDO154,,1.48,2.96,False,28.9,16.907377088123397,16.907377088123397,41.49696509299862,,,,
DDO154,,1.97,2.96,False,34.3,17.623677255328978,17.623677255328978,48.61901674831201,,,,
