complexity,loss,equation,score,sympy_format,lambda_format
1,3.9548666,3.8253417,0.0,3.82534170000000,PySRFunction(X=>3.82534170000000)
3,0.1569001,x0 / 0.14294119,1.6135464265445527,x0/0.14294119,PySRFunction(X=>x0/0.14294119)
5,0.048528697,(x1 * -3.3454857) + 7.6529484,0.5867269917011311,7.6529484 + x1*(-3.3454857),PySRFunction(X=>7.6529484 + x1*(-3.3454857))
6,0.0388576,abs((x1 * -3.430419) + 7.7250214),0.2222516318077885,Abs(7.7250214 + x1*(-3.430419)),PySRFunction(X=>Abs(7.7250214 + x1*(-3.430419)))
7,0.03359892,(5.691689 - x2) + (x1 * -2.496358),0.1454097582819398,x1*(-2.496358) - x2 + 5.691689,PySRFunction(X=>x1*(-2.496358) - x2 + 5.691689)
8,0.027142145,log((x2 / -0.08293161) / x1) / 0.600062,0.21340623767654732,1.6664944622389*log(-12.0581283783108*x2/x1),PySRFunction(X=>1.6664944622389*log(-12.0581283783108*x2/x1))
10,0.023313241,(log((x2 / -0.08349832) / x1) / 0.5241816) - x0,0.0760331017486011,-x0 + 1.90773579232846*log(-11.976288864255*x2/x1),PySRFunction(X=>-x0 + 1.90773579232846*log(-11.976288864255*x2/x1))
11,0.021970702,abs(log(((x2 / -0.060790204) / x1) + -0.6605594) / 0.65516347),0.05931164387290805,1.52633662557529*Abs(log(-(0.6605594 + 16.4500188221115*x2/x1))),PySRFunction(X=>1.52633662557529*Abs(log(-(0.6605594 + 16.4500188221115*x2/x1))))
12,0.017121302,((x2 * x2) - exp(1.9366521 - (x2 * -3.3074033))) + 3.4143214,0.24938641932506134,x2*x2 - exp(1.9366521 - (-3.3074033)*x2) + 3.4143214,PySRFunction(X=>x2*x2 - exp(1.9366521 - (-3.3074033)*x2) + 3.4143214)
14,0.016205698,(x2 * x2) + (3.3680131 - exp(1.7933075 - (x2 * (x2 + -2.544365)))),0.02748025521611758,x2*x2 - exp(1.7933075 - x2*(x2 - 2.544365)) + 3.3680131,PySRFunction(X=>x2*x2 - exp(1.7933075 - x2*(x2 - 2.544365)) + 3.3680131)
16,0.015059213,((x2 * x2) + (3.0863132 - exp(2.0213752 - ((x2 * x1) * -1.8134567)))) * 1.4695477,0.036686472710660695,(x2*x2 - exp(2.0213752 - (-1.8134567)*x1*x2) + 3.0863132)*1.4695477,PySRFunction(X=>(x2*x2 - exp(2.0213752 - (-1.8134567)*x1*x2) + 3.0863132)*1.4695477)
18,0.014750778,(((x2 * x2) + (3.2053692 - exp(2.158972 - ((x1 * x2) * -1.969477)))) * 1.2180588) + x0,0.010347068106307788,x0 + (x2*x2 - exp(2.158972 - (-1.969477)*x1*x2) + 3.2053692)*1.2180588,PySRFunction(X=>x0 + (x2*x2 - exp(2.158972 - (-1.969477)*x1*x2) + 3.2053692)*1.2180588)
19,0.014739427,((((x2 * x2) + 3.3051097) - exp(2.1324327 - (x1 * (x2 * -1.8587484)))) * 1.2221446) + abs(x0),0.0007698149647021177,(x2*x2 - exp(2.1324327 - (-1.8587484)*x1*x2) + 3.3051097)*1.2221446 + Abs(x0),PySRFunction(X=>(x2*x2 - exp(2.1324327 - (-1.8587484)*x1*x2) + 3.3051097)*1.2221446 + Abs(x0))
