gal_id,s_obs,s_model
CamB,0.9105762754725253,0.36345020325215666
D512-2,-0.12477953887939601,0.6250748682485983
D564-8,0.22470372879858505,0.7174702242968884
D631-7,-0.10119539981454917,0.501147864180163
DDO064,0.03441700229531412,0.5064961804427685
DDO154,-0.31631394040122374,0.5971623039233664
DDO161,0.04627609691798129,0.21671590763095888
DDO168,-0.2311154565249268,0.5573613876037348
DDO170,0.27761142820151324,0.23748365314098052
ESO079-G014,0.12731367836967084,0.00675416873404333
ESO116-G012,0.10210033237797182,0.19618216883921016
ESO444-G084,-0.023568367467188787,0.5983649589013417
ESO563-G021,0.04681674366253055,-0.4233997185854461
F561-1,3.791401243121831e-15,0.3687220725019659
F563-1,-0.10223468144338421,0.2267736674389231
F563-V1,-0.25338663454524724,0.4815307470851839
F563-V2,0.04874280353349105,0.23087713061675924
F565-V2,0.3685125657557406,0.42469171149361806
F567-2,0.36615377355774836,0.4390780209576333
F568-1,0.24581467048756783,0.3370789539068884
F568-3,0.39208088968746335,0.22326830740529177
F568-V1,0.0951691612584194,0.2265145965584133
F571-8,0.12051983234317938,0.08715721904142253
F571-V1,-0.03105209941715225,0.1706435752606459
F574-1,0.07989906141185314,0.3254995274874814
F574-2,0.46876743520879277,0.39567522963534696
F579-V1,0.015737317468599056,0.12827338871502017
F583-1,0.16944498835122787,0.38885776171447767
F583-4,0.4539368305483239,0.4382481028621277
IC2574,0.6412137803312473,0.40544460113223296
IC4202,0.0123723102437405,-0.2592498147871675
KK98-251,0.134292887096366,0.5956618944971876
NGC0024,0.008074764714912034,0.16047794885529526
NGC0055,0.07370456712315918,0.2327762123222801
NGC0100,0.305805269294495,0.2670200279651467
NGC0247,0.12795254243411586,0.09148787904492325
NGC0289,-0.26037960414241684,-0.14052923401251222
NGC0300,-0.10811004996043039,0.15961368706229942
NGC0801,0.035623899380373025,-0.2573983172055087
NGC0891,-0.2078456665987476,-0.3807143013912749
NGC1003,0.2014570109647174,0.1947332529316278
NGC1090,-0.100788414926816,-0.14513401848812454
NGC1705,0.00844769809528588,0.5501032152022329
NGC2366,-0.19426807896920598,0.540013626067586
NGC2403,0.06338777906389718,0.023689391759931722
NGC2683,-0.317785321278023,-0.15893622483623018
NGC2841,0.0783455123197677,-0.20128112004253118
NGC2903,-0.12427411171448748,-0.24775347222962102
NGC2915,0.33633362552553087,0.39735106518664115
NGC2955,-0.2538701617941221,-0.27145110785915333
NGC2976,0.4041673678923419,0.15862569610305857
NGC2998,-0.1747503217707499,-0.2348848458876877
NGC3109,0.33445434468635304,0.600036648247778
NGC3198,-0.013318951680370082,-0.03145022308029855
NGC3521,-0.0332481376596485,-0.30954624046651535
NGC3726,-0.033377004853947595,-0.19359525336521358
NGC3741,0.21530665383492936,0.6159541117797135
NGC3769,-0.43663588331976644,0.023163800643749944
NGC3877,-0.0702238698267251,-0.23503881815176642
NGC3893,-0.31191072955219257,-0.22467752072718775
NGC3917,0.010785043851563793,-0.1442927188918557
NGC3949,0.16413782367383625,-0.23733329838091993
NGC3953,-0.3486376916195611,-0.4076039504181826
NGC3972,0.13853864591388107,-0.07411354970758696
NGC3992,-0.15965729576113802,-0.32053213738689973
NGC4010,-0.22013486578191596,-0.05405326871839291
NGC4013,-0.045081781291666616,-0.18437017428209707
NGC4051,-0.04283102462281593,-0.2618724167890125
NGC4068,0.7635492616251083,0.4393208872483141
NGC4085,0.1457168933161523,-0.2765753357244196
NGC4088,0.25250065109113834,-0.35702016237742135
NGC4100,-0.5112835510836102,-0.25534985887880807
NGC4138,0.13685267460885955,-0.15903226110150456
NGC4157,-0.01553457162803045,-0.29411937615753875
NGC4183,0.07935133323686434,0.03428850016839207
NGC4214,0.025650357768841316,0.41096135946152923
NGC4217,-0.11049344676830732,-0.2959081899903102
NGC4389,0.7681861059520813,-0.30838887676966653
NGC4559,-0.10479563487256974,0.04082625033775416
NGC5005,-0.005024832922268997,-0.24193353328031553
NGC5033,-0.02107291400276211,-0.2156913933471538
NGC5055,-0.09381620318966408,-0.19007665643988067
NGC5371,0.07111867471877117,-0.47442683776508
NGC5585,-0.017503788716605958,0.23720899348444274
NGC5907,-0.041419057145124775,-0.24271644040134938
NGC5985,-0.05510667136910887,-0.15911163109493637
NGC6015,-0.21382166867895117,-0.09513414507997835
