R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
1.0,39625486921.47069,39628511268.66725,17.74855859484942,17.749913223084924,0.0,0.0
1.0120606264911474,39625531510.19401,39628554731.15311,17.74857856647955,17.749932690264682,0.4204953585403315,0.4205274460963397
1.0242667116936537,39625580610.813156,39628599256.30688,17.748600559022325,17.749952633421525,0.8310289266558584,0.8310923111940642
1.0366200099307066,39625619176.34126,39628644870.22257,17.74861783281726,17.749973064243157,1.2318366845551216,1.2319306380846837
1.0491222966837304,39625666283.925674,39628691599.78797,17.748638932664534,17.749993994772826,1.6231490441219378,1.6232728775646332
1.0617753688475675,39625714621.109604,39628739472.51227,17.748660583258832,17.750015437332106,2.0051910199527665,2.005344020927144
1.0745810449887383,39625764316.81134,39628788516.64417,17.748682842343648,17.75003740457381,2.378182257767309,2.378363729314882
1.0875411656068144,39625814844.46308,39628838761.15202,17.748705474065233,17.750059909473077,2.742337197354305,2.742546460008487
1.1006575933989453,39625865843.24486,39628890235.6105,17.748728316809558,17.750082965276636,3.0978651933369936,3.098101589722414
1.113932213527575,39625920606.20778,39628942970.31663,17.748752845559405,17.750106585554757,3.4449706560271007,3.445233534979682
1.127366933891388,39625973255.2474,39628996996.38551,17.74877642746684,17.75013078424413,3.7838531388825847,3.7841418696358864
1.1409636853995222,39626027282.43896,39629052345.72245,17.74880062665907,17.750155575635382,4.114707455220871,4.11502143961918
1.1547244222490889,39626084649.88922,39629109051.07119,17.74882632197871,17.750180974394688,4.437723831773701,4.438062474951963
1.1686511222060412,39626144358.48786,39629167145.96665,17.748853065916613,17.750206995542598,4.7530879934764165,4.753450699118617
1.1827457868894284,39626200933.043915,39629226664.729034,17.748878406092874,17.75023365445139,5.060981230614083,5.061367435841817
1.19701044205908,39626262394.61887,39629287642.61897,17.748905935202274,17.75026096691457,5.3615805523177125,5.361989713329914
1.2114471379067577,39626325515.32093,39629350115.83728,17.748934207447387,17.75028894914676,5.655058799129347,5.655490366055354
1.2260579493508208,39626390953.60426,39629414121.47457,17.748963517754877,17.750317617761134,5.941584703179728,5.942038134121478
1.2408449763344431,39626455118.3587,39629479697.515076,17.74899225763904,17.750346989771113,6.221322983337974,6.221797760274915
1.2558103441274293,39626524037.568794,39629546882.85755,17.74902312708024,17.75037708259975,6.494434469224034,6.494930084619727
1.2709562036316695,39626590396.16889,39629615717.43461,17.749052849604645,17.75040791413317,6.761076172862852,6.761592137088339
1.2862847316902777,39626661616.37685,39629686242.23884,17.749084749680385,17.750439502732263,7.021401387420713,7.021937227722415
1.3017981314004599,39626735561.947235,39629758499.30064,17.7491178704668,17.750471867222767,7.275559802017091,7.276115034814879
1.3174986324301545,39626807994.480606,39629832531.68253,17.749150313552363,17.75050502689272,7.523697525478412,7.524271690963511
1.3333884913384921,39626885641.40006,39629908383.50842,17.749185092201326,17.75053900150555,7.765957218606689,7.766549867085927
1.34946999190012,39626960691.85407,39629986100.0488,17.749218707873563,17.750573811338256,8.002478156103274,8.003088854444698
