R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
1.0,39625486921.47069,39628927514.085945,17.864356716733823,17.865907838967797,0.0,0.0
1.0120606264911474,39625531510.19401,39628970916.66993,17.864376818666212,17.865927406153034,0.4232388248629549,0.4232755673524398
1.0242667116936537,39625580610.813156,39629015381.399414,17.86439895469642,17.865947452185285,0.8364508649177229,0.8365234481984657
1.0366200099307066,39625619176.34126,39629060934.36684,17.864416341191944,17.865967988827805,1.2398736399944883,1.239981227864491
1.0491222966837304,39625666283.925674,39629107602.457825,17.86443757870238,17.865989028201437,1.6337390652689128,1.6338808631382569
1.0617753688475675,39625714621.109604,39629155413.17486,17.864459370553117,17.866010582705123,2.018273623415415,2.0184488156265044
1.0745810449887383,39625764316.81134,39629204394.76154,17.864481774864384,17.86603266507193,2.3936983932031284,2.3939061819529206
1.0875411656068144,39625814844.46308,39629254576.18167,17.864504554243638,17.8660552883596,2.7602292135048176,2.7604688208719788
1.1006575933989453,39625865843.24486,39629305987.00569,17.86452754602243,17.86607846589938,3.1180768048502565,3.118347477370524
1.113932213527575,39625920606.20778,39629358657.524284,17.864552234806858,17.866102211347215,3.4674469111992012,3.467747903829163
1.127366933891388,39625973255.2474,39629412618.847694,17.864575970571327,17.866126538728533,3.808540387969739,3.8088709783142836
1.1409636853995222,39626027282.43896,39629467902.87829,17.86460032764798,17.866151462425883,4.141553319513005,4.141912820067884
1.1547244222490889,39626084649.88922,39629524542.35404,17.864626190613336,17.86617699719852,4.46667717366988,4.46706490226132
1.1686511222060412,39626144358.48786,39629582570.802864,17.864653109038525,17.866203158161827,4.784098887113469,4.784514162077728
1.1827457868894284,39626200933.043915,39629642022.54152,17.864678614543415,17.866229960786836,5.094000932933312,5.094443108186138
1.19701044205908,39626262394.61887,39629702932.82679,17.864706323262844,17.86625742096836,5.396561475133073,5.397029925670124
1.2114471379067577,39626325515.32093,39629765337.85297,17.86473477996648,17.866285555023865,5.691954481930038,5.69244857847133
1.2260579493508208,39626390953.60426,39629829274.70478,17.86476428150519,17.866314379672264,5.980349786325408,5.980868909405619
1.2408449763344431,39626455118.3587,39629894781.361626,17.864793208898924,17.866343912035806,6.261913181874765,6.26245673780945
1.2558103441274293,39626524037.568794,39629961896.71629,17.864824279743708,17.86637416964852,6.53680654750963,6.537373954872981
1.2709562036316695,39626590396.16889,39630030660.69715,17.86485419618879,17.866405170511317,6.805187919659129,6.805778616715292
1.2862847316902777,39626661616.37685,39630101114.291985,17.864886304392353,17.866436933102715,7.0672115916305245,7.067825035255264
1.3017981314004599,39626735561.947235,39630173299.52391,17.86491964127096,17.866469476368,7.32302822917014,7.323663866929573
1.3174986324301545,39626807994.480606,39630247259.45049,17.86495229602714,17.866502819718804,7.572784894372107,7.573442199308669
1.3333884913384921,39626885641.40006,39630323038.189316,17.864987301584797,17.866536983044657,7.816625178809962,7.817303635660775
1.34946999190012,39626960691.85407,39630400681.006676,17.86502113657804,17.866571986752966,8.054689265864415,8.055388377513047
1.3657454454334392,39627041074.41095,39630480234.37014,17.86505737544301,17.8666078517927,8.287114018853504,8.287833305257477
1.3822171911327976,39627124745.246574,39630561745.93682,17.865095096762555,17.866644599649117,8.51403308966644,8.514772056847276
1.3988875964046932,39627206134.83496,39630645264.564476,17.865131789627497,17.86668225234875,8.735576922968118,8.736335104628823
1.415759057208029,39627293127.89099,39630730840.33131,17.86517100870354,17.86672083246836,8.95187288575077,8.952649830353492
1.4328339983984741,39627378428.231606,39630818524.57159,17.86520946465276,17.86676036315097,9.163045330111693,9.163840598412602
1.4501148740769754,39627468998.273766,39630908370.00628,17.86525029634132,17.866800868164773,9.36921566069839,9.370028827338194
1.467604167942475,39627562086.29485,39631000430.76776,17.86529226321022,17.866842371914267,9.570502428041156,9.571333059610664
1.4853043936488803,39627656374.9362,39631094762.32974,17.865334771354707,17.86688489940866,9.767021352311081,9.767869029812262
