R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
7.999999999999999,18556982971.730957,19139239602.98792,6.511970119752235,6.716294162650208,0.0,0.0
8.057510445906795,18557691533.898285,19141832368.952053,6.512218766618411,6.7172040096071015,0.09262834696995098,0.09553938117280386
8.115434323237139,18558411235.644905,19144428272.555004,6.512471322557934,6.718114957616373,0.18394270859926182,0.1897327552154684
8.173774604069223,18559142267.910545,19147027058.667957,6.5127278545748934,6.719026917148855,0.2739618311589111,0.28259928281974794
8.232534281846931,18559884825.448765,19149628470.604004,6.512988431011723,6.719939798128619,0.3627041952346498,0.3741578508574368
8.291716371533429,18560639106.92229,19152232250.06956,6.513253121582651,6.720853509915926,0.4501880195253905,0.46442707626729324
8.351323909765874,18561405315.001377,19154838137.11482,6.513521997408216,6.721767961289839,0.536431264588072,0.5534253098864508
8.411359955011212,18562183656.46539,19157445870.083138,6.513795131050917,6.7226830604304615,0.621451636529725,0.6411706402270514
8.47182758772312,18562974342.307705,19160055185.55938,6.514072596552023,6.723598714900813,0.7052665906475654,0.7276808971989315
8.53272991050005,18563777587.844097,19162665818.31714,6.514354469469608,6.724514831628304,0.7878933350178218,0.8129736557790749
8.594070048244438,18564593612.824684,19165277501.26483,6.514640826917834,6.725431316885825,0.869348834034077,0.8970662396286169
8.655851148323034,18565422641.549717,19167889965.390602,6.5149317476075845,6.726348076272404,0.9496498118958485,0.9799757246581284
8.718076380728396,18566264902.989204,19170502939.70605,6.515227311888444,6.727265014693472,1.028812756048127,1.0617189425419014
8.780748938241544,18567120630.906673,19173116151.188618,6.515527601792125,6.728182036340633,1.1068539205726065,1.1423124841819687
8.84387203659578,18567990063.987186,19175729324.722755,6.515832701077394,6.729099044671026,1.1837893295313013,1.221772703122561
8.907448914641687,18568873445.969807,19178342183.039692,6.516142695276555,6.730015942386185,1.2596347802632524,1.3001157189156933
8.971482834513317,18569771025.784683,19180954446.65582,6.516457671743552,6.730932631410422,1.3344058466350168,1.3773574204385834
9.035977081795568,18570683057.695004,19183565833.809658,6.516777719703789,6.731849012868702,1.4081178822456206,1.4535134691635645
9.100934965692772,18571609801.44404,19186176060.3973,6.517102930305727,6.73276498706399,1.4807860235866377,1.528599302381175
9.166359819198489,18572551522.40739,19188784839.906296,6.517433396674309,6.7336804534540535,1.5524251931580786,1.6026301363770732
9.232254999266518,18573508491.75086,19191391883.34797,6.517769213966359,6.734595310627708,1.6230501025407162,1.6756209695634243
9.29862388698315,18574480986.594063,19193996899.188057,6.518110479428002,6.735509456280478,1.6926752554255298,1.7475865855654154
9.365469887740646,18575469290.180065,19196599593.275616,6.518457292454187,6.736422787189649,1.7613149506008792,1.8185415562635086
9.432796431411974,18576473692.051376,19199199668.770172,6.518809754650449,6.737335199188703,1.8289832848980563,1.8885002447920642
9.50060697252679,18577494488.23257,19201796826.066982,6.519167969896991,6.7382465871410915,1.8956941560958323,1.9574768084949445
9.568904990448692,18578531981.41984,19204390762.720398,6.519532044415206,6.739156844913344,1.9614612657846224,2.0254852018387006
9.63769398955375,18579586481.177776,19206981173.36525,6.519902086836725,6.740065865347478,2.026298122190867,2.092539179283924
9.706977499410309,18580658304.143856,19209567749.636127,6.520278208275183,6.740973540232671,2.090218042962251,2.1586522981153733
9.776759074960097,18581747774.24082,19212150180.08455,6.52066052240074,6.741879760276203,2.1532341579143366,2.223837921231425
9.84704229670063,18582855222.89751,19214728150.093884,6.5210491455175745,6.74278441507359,2.21535941173922,2.288109219893439
9.917830770868921,18583980989.278423,19217301341.79195,6.521444196644446,6.743687393077921,2.27660656667677,2.351479176435569
9.98912812962652,18585125420.522583,19219869433.961235,6.521845797598514,6.744588581568347,2.3369882051490523,2.413960586935607
10.060938031245884,18586288871.992027,19222432101.94658,6.5222540730825385,6.74548786661769,2.3965167323584935,2.47556606384737
10.133264160298081,18587471707.530544,19224989017.560272,6.522669150775671,6.746385133059141,2.455204378850353,2.5363080385951795
10.206110227841842,18588674299.733097,19227539848.984474,6.523091161428006,6.74728026445201,2.5130632030400695,2.5961987641309574
10.279479971613977,18589897030.226517,19230084260.670742,6.523520238959078,6.748173143046475,2.5701050937060197,2.655250317454451
10.353377156221164,18591140289.96204,19232621913.236713,6.523956520560519,6.749063649747327,2.626341772448269,2.71347460209711
10.427805573333101,18592404479.52038,19235152463.35967,6.524400146803111,6.7499516640766135,2.681784796113823,2.770883350570099
10.50276904187707,18593690009.429882,19237675563.666946,6.524851261748439,6.750837064135188,2.7364455591889496,2.827488126776965
10.578271408233874,18594997300.498596,19240190862.623047,6.525310013065409,6.751719726563089,2.7903352961590886,2.88330032839141
10.654316546435203,18596326784.160904,19242698004.413246,6.5257765521519,6.752599526498706,2.843465083836889,2.938331189200689
10.730908358362406,18597678902.839603,19245196628.823647,6.526251034261813,6.753476337536674,2.895845843658905,2.9925917814150806
10.808050773946702,18599054110.324257,19247686371.117428,6.5267336186378495,6.754350031684462,2.9474883439514667,3.0460930179438925
10.885747751370822,18600452872.16668,19250166861.907192,6.527224468650288,6.755220479317564,2.998403202166257,3.0988456546384713
10.9640032772721,18601875666.09465,19252637727.023228,6.52772375194217,6.756087549133281,3.048600887086103,3.15086029250266
11.042821366947035,18603322982.44474,19255098587.377426,6.528231640581178,6.75695110810296,3.0980917210015124,3.2021473798711453
11.12220606455731,18604795324.615486,19257549058.822807,6.528748311218671,6.757811021422703,3.1468858818584566,3.2527172145561294
11.202161443337305,18606293209.54203,19259988752.008278,6.529273945256238,6.758667152462396,3.194993405377923,3.302579945962752
11.282691605803084,18607817168.193527,19262417272.22857,6.529808729020247,6.759519362713051,3.2424241871477437,3.351745577173687
11.363800683962907,18609367746.09462,19264834219.26898,6.530352853944845,6.760367511732325,3.2891879846872056,3.400223967003329
11.445492839529237,18610945503.87253,19267239187.244793,6.530906516763937,6.761211457088169,3.335294419484981,3.448024832021969
11.527772264132281,18612551017.83123,19269631764.43508,6.531469919712672,6.7620510543005015,3.380752979010844,3.495157748550362
11.61064317953506,18614184880.554363,19272011533.11058,6.532043270739022,6.762886156780812,3.425573018701724,3.541632154625082
11.694109837850029,18615847701.538837,19274378069.355377,6.532626783726122,6.763716615769588,3.4697637639225993,3.587457351935042
11.778176521757253,18617540107.860817,19276730942.882195,6.533220678725972,6.764542280271491,3.51333431190273,3.6326425077295736
11.862847544724152,18619262744.87634,19279069716.84075,6.533825182205301,6.765362996988114,3.55629363364777,3.6771966566984142
11.948127251226829,18621016276.958656,19281393947.619072,6.534440527304311,6.766178610248248,3.5986505758282696,3.721128702823983
12.034020016972978,18622801388.274868,19283703184.63722,6.5350669541092135,6.766988961935508,3.640413862645091,3.7644474212063077
12.120530249126404,18624618783.60418,19285996970.133167,6.535704709939366,6.767793891413187,3.6815920976722745,3.8071614598609296
12.20766238653316,18626469189.200764,19288274838.940353,6.536354049650068,6.768593235446197,3.7221937656778814,3.8492793414901567
12.2954208999493,18628353353.70418,19290536318.256454,6.537015235952047,6.769386828119926,3.762227234423375,3.890809465227989
12.383810292270278,18630272049.100483,19292780927.402992,6.537688539748717,6.770174500755885,3.801700756442063,3.931760108359034
12.47283509876198,18632226071.73764,19295008177.57518,6.538374240492522,6.7709560818239165,3.840622470797193,3.972139428011772
12.562499887293445,18634216243.399036,19297217571.5816,6.539072626561634,6.771731396850853,3.8790004048202418,4.011955462826439
12.652809258571233,18636243412.43902,19299408603.572952,6.539783995658439,6.7725002683253175,3.916842475829995,4.05121613459787
12.74376784637549,18638308454.985134,19301580758.759544,6.540508655231432,6.7732625155986,3.9541564928330204,4.0899292498935935
12.835380317797707,18640412276.21165,19303733513.11657,6.541246922922104,6.774017954781224,3.9909501582061155,4.12810250164746
12.927651373480186,18642555811.68981,19305866333.07676,6.541999127038779,6.7747663986350934,4.027231069361392,4.165743470729115
13.020585747857242,18644740028.82026,19307978675.20946,6.542765607059276,6.775507656460884,4.063006720394599,4.202859627489561
13.114188209398106,18646965928.35403,19310069985.885464,6.543546714164648,6.776241533980413,4.098284503717398,4.239458333283116
13.208463560851621,18649234546.008682,19312139700.926697,6.544342811806314,6.776967833213723,4.133071711674231,4.275546841966002
13.30341663949265,18651546954.186924,19314187245.239845,6.545154276309155,6.7776863523505035,4.167375538144519,4.311132301371828
13.399052317370288,18653904263.805824,19316212032.43297,6.545981497513414,6.7783968856155585,4.201203080130928,4.346221754764218
13.495375501557842,18656307626.245167,19318213464.41399,6.546824879458408,6.77909922312791,4.234561339334477,4.380822142266822
13.59239113440462,18658758235.42466,19320190930.969994,6.547684841111462,6.779793150753167,4.267457223717279,4.4149403022709235
13.690104193789518,18661257330.02031,19322143809.326042,6.548561817145663,6.780478449948703,4.299897549053772,4.448582972820883
13.788519693376431,18663806195.831562,19324071463.68223,6.549456258770546,6.781154897601204,4.33188904047134,4.481756792977617
13.887642682871519,18666406168.31155,19325973244.727547,6.550368634619985,6.781822265856069,4.363438333981228,4.514468304160301
13.987478248282292,18669058635.27452,19327848489.12895,6.551299431702291,6.782480321938125,4.394551978000755,4.546723951466526
14.08803151217858,18671765039.795353,19329696518.994057,6.552249156417696,6.783128827963071,4.42523643486788,4.578530084971034
14.189307633955377,18674526883.318043,19331516641.305637,6.55321833564918,6.7837675407390305,4.455498082349224,4.6098929610032435
14.29131181009756,18677345728.99156,19333308147.32584,6.554207517933073,6.784396211557487,4.485343215142707,4.6408187434036945
14.394049274446527,18680223205.253304,19335070311.968193,6.5552172747165605,6.785014585972906,4.514778046376096,4.671313504759582
14.497525298468751,18683161009.682854,19336802393.13493,6.556248201710029,6.785622403570193,4.543808709102809,4.701383227619477
14.601745191526248,18686160913.150673,19338503631.017162,6.557300920342921,6.786219397719111,4.572441257796404,4.7310338056873755
14.706714301149008,18689224764.289593,19340173247.35522,6.55837607933285,6.7868052953147195,4.600681669845328,4.760271044996179
14.812438013309373,18692354494.319603,19341810444.65605,6.559474356378712,6.787379816502748,4.628535847049616,4.789100665060666
14.918921752698395,18695552122.260067,19343414405.364517,6.560596459989742,6.78794267438879,4.656009617121346,4.817528300010058
15.026170983004178,18698819760.567375,19344984290.98496,6.5617431314638575,6.788493574730042,4.683108735190848,4.8455594997002045
15.134191207192217,18702159621.240376,19346519241.14913,6.562915147030173,6.78903221560823,4.7098388853207735,4.8731997308054344
15.242987967787757,18705574022.44088,19348018372.626198,6.564113320172241,6.789558287082192,4.736205682030426,4.900454377890083
15.35256684716018,18709065395.68235,19349480778.270115,6.5653385041506915,6.790071470818506,4.762214671832857,4.927328744459661
15.462933467809437,18712636293.64603,19350905525.89914,6.566591594746054,6.790571439698282,4.787871334787556,4.953828053991677
15.57409349265454,18716289398.691486,19352291657.101845,6.567873533245247,6.791057857398176,4.8131810860718165,4.979957450945989
15.686052625324123,18720027532.136402,19353638185.963245,6.5691853096980255,6.791530377943363,4.838149277574139,5.005722001754651
15.798816610449103,18723853664.39069,19354944097.704124,6.570527966473219,6.791988645230054,4.862781199513462,5.031126695791091
15.912391233957429,18727770926.04032,19356208347.225784,6.571902602148237,6.7924322925148255,4.887082082088278,5.056176446318469
16.026782323370963,18731782619.98949,19357429857.55175,6.573310375769972,6.792860941867782,4.911057097160316,5.080876091417043
16.14199574810449,18735892234.783916,19358607518.15676,6.574752511530174,6.793274203586173,4.9347113599778005,5.105230394890262
16.258037419766872,18740103459.255234,19359740183.172638,6.576230303904428,6.793671675564798,4.958049930944038,5.129244047149339
16.37491329246439,18744420198.645752,19360826669.459087,6.577745123310613,6.794052942619019,4.981077817437639,5.152921666075934
16.492629363106232,18748846592.395596,19361865754.526207,6.579298422350718,6.794417575755735,5.0037999756914955,5.176267797862576
16.6111916717122,18753387033.800846,19362856174.294037,6.580891742709233,6.794765131387162,5.026221312738516,5.1992869178303485
16.730606301722624,18758046191.781776,19363796620.67242,6.582526722791999,6.795095150481569,5.048346688433083,5.221983431223314
16.850879380310513,18762829035.036835,19364685738.942497,6.584205106202268,6.795407157644398,5.070180917558388,5.244361673979047
16.972017078695913,18767740858.900204,19365522124.91885,6.585928751165486,6.7957006601224075,5.091728772031125,5.266425913474616
17.094025612462605,18772787315.270935,19366304321.868366,6.5876996410319535,6.795975146722453,5.112994983216588,5.288180349247149
17.216911241876968,18777974446.040817,19367030817.158855,6.589519896007246,6.796230086635424,5.133984244368976,5.30962911368812
17.340680272209223,18783308720.518288,19367700038.606766,6.591391786284926,6.7964649281545935,5.154701213213859,5.3307762727102554
17.46533905405696,18788797077.42939,19368310350.489002,6.593317746785406,6.796679097276099,5.1751505146921835,5.351625826385899
17.590893983670984,18794446972.17647,19368860049.178905,6.595300393739858,6.796871996167528,5.195336743888034,5.37218170955544
17.717351503283492,18800266430.155315,19369347358.360558,6.5973425434001305,6.797043001488535,5.215264469165853,5.392447792404253
17.84471810143865,18806264107.075493,19369770423.76887,6.599447233206206,6.7971914625450465,5.234938235546676,5.412427881006354
17.9730003133255,18812449357.40336,19370127307.394592,6.601617745804057,6.797316699255694,5.254362568357788,5.43212571783272
18.10220472111329,18818832312.25887,19370415981.084038,6.603857636380996,6.797417999905853,5.273541977195783,5.451544982221959
18.232337954289203,18825423968.356148,19370634319.451847,6.606170763876482,6.7974946186606005,5.292480960249718,5.47068929081059
18.36340668999852,18832236289.894638,19370780092.011616,6.608561326737502,6.797545772803218,5.311184009039168,5.489562197919889
18.495417653387225,18839282325.698402,19370850954.412903,6.611033904024807,6.797570639660105,5.329655613631664,5.50816719589571
18.628377617947063,18846576344.38498,19370844438.653717,6.61359350284603,6.797568353166164,5.347900268415755,5.526507715397147
18.7622934058631,18854133990.948154,19370757942.113785,6.6162456133033185,6.79753800001639,5.365922478520308,5.544587125629327
18.89717188836376,18861972468.893944,19370588715.225334,6.6189962724080385,6.797478615339326,5.3837267669880555,5.562408734514681
19.033019986073406,18870110753.02149,19370333847.5627,6.621852138749316,6.797389177815667,5.401317682833002,5.579975788796325
19.16984466936741,18878569839.148636,19369990252.08919,6.624820580127114,6.797268604150208,5.418699810137838,5.5972914740659006
19.307652958729822,18887373038.625446,19369554647.245747,6.62790977690218,6.7971157427864375,5.435877778380627,5.614358914706981
19.4464519251136,18896546327.465958,19369023536.499645,6.631128844512483,6.796929366729825,5.452856274221473,5.631181173743533
19.58624869030339,18906118762.50533,19368393184.887634,6.6344879795100535,6.796708165316394,5.4696400550320625,5.6477612525809
19.72705042728098,18916122980.359978,19367659591.982643,6.637998634654815,6.796450734726268,5.4862339645174325,5.664102090624452
19.868864360593324,18926595799.415073,19366818460.578476,6.641673730162542,6.796155566994582,5.5026429508640815,5.680206564757978
20.01169776672324,18937578950.986393,19365865160.21457,6.645527910282343,6.7958210372116765,5.518872087958315,5.696077488660281
20.155557974462777,18949119973.77101,19364794684.43943,6.649577857175074,6.795445388526098,5.534926600361319,5.711717611933737
20.300452365289228,18961273316.537205,19363601600.418602,6.653842677866515,6.795026714461148,5.550811892915184,5.727129619012758
20.446388373743908,18974101708.911625,19362279989.107178,6.658344385280588,6.794562937920369,5.566533586103345,5.742316127812617
20.593373487813597,18987677880.8918,19360823373.690044,6.66310850164639,6.794051786075978,5.5820975586237465,5.757279688069496
20.741415249314763,19002086741.044617,19359224633.29466,6.668164822866157,6.793490760089164,5.59750999908817,5.772022779310035
20.89052125428052,19017428165.393253,19357475898.02357,6.673548397184512,6.792877098275171,5.612777469388193,5.78654780837231
21.040699153350403,19033820610.229336,19355568420.022324,6.679300792987476,6.792207730858758,5.6279069831441095,5.80085710637809
21.19195665216289,19051405852.863976,19353492413.416824,6.685471762414986,6.791479223805428,5.642906103896349,5.814952925026626
21.34430151175081,19070355301.53476,19351236853.249905,6.692121455617696,6.790687708264747,5.657783069493747,5.828837432039524
21.497741548939544,19090878527.555016,19348789219.582584,6.69932341483749,6.789828790770994,5.672546951774174,5.842512705529471
21.65228463674811,19113235007.844624,19346135166.990097,6.707168695067069,6.788897437263539,5.687207864602769,5.855980726984865
21.80793870479314,19137750610.146873,19343258090.57785,6.715771649001078,6.7878878207942375,5.701777239442369,5.869243372445372
21.964711739695726,19164841263.94875,19340138545.29151,6.7252782335763355,6.786793117753188,5.716268197287433,5.882302401269324
22.12261178549124,19195047837.12426,19336753451.962826,6.735878248796411,6.785605229256305,5.730696061526878,5.895159441628241
