R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
7.415000000000001,10475981078.068573,11113485059.308952,3.464608139564152,3.6754429497790997,0.0,0.0
7.4604905016426235,10476621926.212032,11115913235.28627,3.4648200803530393,3.67624599420927,0.042123524602210805,0.044690429679386384
7.506260084302065,10477271388.89412,11118343975.01679,3.4650348701352978,3.677049886521862,0.08373751126784196,0.08884728769653082
7.552310460120662,10477929592.569275,11120777102.370073,3.4652525507318397,3.6778545684671577,0.1248481897821654,0.132477071096041
7.598643351744631,10478596665.857784,11123212440.287003,3.4654731646798633,3.6786599814883063,0.16546171470240295,0.17558619722228686
7.645260492388493,10479272739.592152,11125649810.755352,3.465696755248191,3.6794660667132457,0.2055841662811257,0.21818100468458637
7.692163625899926,10479957946.864744,11128089034.784922,3.4659233664530245,3.6802727649464795,0.24522155137864537,0.26026775431058824
7.739354506824989,10480652423.076782,11130529932.382229,3.4661530430741476,3.681080016660706,0.2843798043644837,0.301852630087938
7.78683490047375,10481356305.988665,11132972322.524754,3.46638583067157,3.6818877619883006,0.3230647880080889,0.3429417400944008
7.834606582986338,10482069735.771723,11135416023.134747,3.4666217756026434,3.6826959407126556,0.3612822943589396,0.3835411174165826
7.882671341399372,10482792855.06144,11137860851.05252,3.466860925039661,3.683504492259344,0.3990380456161387,0.42365672105735447
7.931030973712815,10483525809.012188,11140306622.009281,3.4671033269879623,3.6843133556871375,0.4363376949876707,0.46329443683215543
7.979687288957237,10484268745.353537,11142753150.599455,3.467349030304552,3.6851224696788507,0.4731868275394276,0.5024600782542799
8.028642107261476,10485021814.44817,11145200250.252497,3.4675980847172583,3.6859317725320224,0.5095909610341353,0.5411593874092808
8.077897259920734,10485785169.351519,11147647733.204166,3.4678505408444513,3.686741202149412,0.5455555467603302,0.5793980358186451
8.127454589465087,10486558965.873123,11150095410.46726,3.468106450215339,3.687550696029321,0.5810859703514979,0.6171816252928449
8.177315949728392,10487343362.639812,11152543091.801777,3.4683658652908598,3.688360191255728,0.6161875525954871,0.6545156887738861
8.227483205917654,10488138521.160751,11154990585.68451,3.468628839485196,3.6891696244882297,0.6508655502343645,0.6914056911675134
8.277958234682785,10488944605.894459,11157437699.278038,3.468895427187939,3.689978931951788,0.6851251567547927,0.7278570301651578
8.328742924186818,10489761784.31783,11159884238.39913,3.469165683786914,3.6907880494262786,0.7189715031690836,0.7638750370557763
8.37983917417653,10490590226.997257,11162330007.48646,3.4694396656917035,3.691596912235815,0.7524096587870299,0.7994649775276835
8.431248896053507,10491430107.661957,11164774809.56774,3.4697174303578953,3.692405455237879,0.7854446319786437,0.834632052460507
8.482974012945657,10492281603.279507,11167218446.226124,3.4699990363120663,3.6932136128122086,0.8180813709279319,0.8693813987073893
8.535016459779134,10493144894.13378,11169660717.565979,3.4702845431775557,3.694021318849479,0.8503247643777965,0.9037180898675237
8.587378183350733,10494020163.9053,11172101422.177881,3.4705740117010406,3.6948285067397255,0.8821796423662173,0.9376471370491815
8.640061142400706,10494907599.754139,11174540357.102936,3.470867503779951,3.6956351093605435,0.9136507769537974,0.9711734896233032
8.693067307686038,10495807392.405443,11176977317.796307,3.471165082490756,3.6964410590650276,0.944742882942808,1.0043020359677899
8.746398662054172,10496719736.237698,11179412098.089975,3.4714668121181536,3.6972462876694547,0.9754606185878426,1.0370376042025986
8.800057200517184,10497644829.373869,11181844490.154707,3.471772758185214,3.6980507264407048,1.0058085862981898,1.0693849629157481
8.854044930326396,10498582873.77549,11184274284.461163,3.4720829874844945,3.6988543060834016,1.035791333332029,1.1013488218803316
8.908363871047484,10499534075.339832,11186701269.740183,3.472397568110178,3.6996569567267765,1.065413352482594,1.1329338327626794
8.963016054636018,10500498644.0003,11189125232.942162,3.4727165694912725,3.700458607911233,1.0946790827563697,1.1641445898217264
9.018003525513468,10501476793.830185,11191545959.195536,3.4730400624259277,3.701259188574619,1.123592910043463,1.1949856305997228
9.073328340643682,10502468743.149881,11193963231.764301,3.47336811911689,3.702058627038175,1.1521591677802454,1.2254614366043752
9.128992569609846,10503474714.637741,11196376832.00459,3.4737008132081675,3.7028568509921738,1.180382137604384,1.2555764339825266
9.184998294691889,10504494935.444742,11198786539.320217,3.474038219822951,3.703653787481222,1.2082660500023534,1.2853349941854642
9.241347610944372,10505529637.313055,11201192131.117197,3.4743804156028273,3.7044493628892123,1.2358150849495417,1.3147414346259503
9.29804262627488,10506579056.698778,11203593382.757193,3.4747274787483695,3.705243502923933,1.263033372543079,1.3438000193271034
9.355085461522856,10507643434.898937,11205990067.509846,3.475079489061138,3.7060361326013003,1.2899249936274488,1.3725149595631754
9.412478250538943,10508723018.182976,11208381956.503967,3.475436527987167,3.7068271762292153,1.3164939804130287,1.400890414492356
9.47022314026481,10509818057.928938,11210768818.67754,3.4757986786620045,3.7076165573910322,1.3427443170876474,1.42893049178169
9.528322290813458,10510928810.764511,11213150420.726482,3.476166025957355,3.7084041989286103,1.3686799404212555,1.4566392482241795
9.58677787555003,10512055538.713217,11215526527.052172,3.476538656529429,3.70919002292496,1.3943047403638362,1.4840206903481878
9.645592081173117,10513198509.345905,11217896899.707613,3.4769166588690466,3.709973950686441,1.4196225606366317,1.5110787750192163
9.70476710779654,10514357995.937836,11220261298.34227,3.477300123353583,3.710755902724513,1.444637199316809,1.537817410034139
9.764305169031672,10515534277.63161,11222619480.145489,3.477689142300859,3.7115357987370317,1.4693524094156598,1.5642404547080004
9.824208492070229,10516727639.606205,11224971199.788448,3.478083810025038,3.712313557589043,1.493771899450436,1.5903517204534374
9.884479317767598,10517938373.252365,11227316209.364594,3.478484222894637,3.7130890972930883,1.5178993340099325,1.6161549713528305
9.945119900726652,10519166776.354742,11229654258.328522,3.478890479392758,3.713862334988991,1.5417383343139008,1.6416539247232453
10.006132509382095,10520413153.280993,11231985093.433216,3.479302680179632,3.714633186923099,1.5652924787664175,1.6668522516742632
10.067519426085308,10521677815.17824,11234308458.665602,3.4797209281575867,3.715401568426971,1.5885653035032936,1.6917535776587724
10.129282947189758,10522961080.177235,11236624095.180351,3.480145328538573,3.7161673938954864,1.6115603029336454,1.7163614830168068
10.191425383136858,10524263273.60458,11238931741.231876,3.4805759889143455,3.716930576764353,1.6342809302756982,1.740679503512487
10.253949058542418,10525584728.203423,11241231132.104404,3.481013019329454,3.717691029486979,1.6567305980869633,1.7647111308641668
10.31685631228362,10526925784.363035,11243522000.040146,3.481456532357168,3.7184486635107223,1.6789126787888782,1.7884598132678635
10.380149497586473,10528286790.357729,11245804074.165379,3.4819066431784904,3.7192033892524408,1.7008305051859836,1.8119289559139924
10.443830982113864,10529668102.595568,11248077080.414427,3.482363469664414,3.719955116073351,1.722487370979797,1.835121921497556
10.50790314805414,10531070085.87736,11250340741.451466,3.482827132461572,3.7207037522531694,1.743886531277452,1.8580420307218066
10.572368392210189,10532493113.666504,11252594776.589998,3.4832977550814825,3.7214492049634815,1.7650312030952033,1.8806925627954547
10.637229126089114,10533937568.37022,11254838901.709978,3.483775463993558,3.722191380240331,1.785924565856933,1.9030767559235209
10.702487775992463,10535403841.63273,11257072829.172453,3.4842603887220642,3.7229301829559915,1.8065697618877525,1.9251978077918794
10.768146783106953,10536892334.641077,11259296267.73161,3.484752661947261,3.7236655167898793,1.826969896902791,1.9470588760455487
10.83420860359582,10538403458.444235,11261508922.444166,3.485252419610939,3.724397284198587,1.847128040491315,1.968663078760824
10.90067570869068,10539937634.286188,11263710494.57592,3.485759801026574,3.7251253863849763,1.8670472265962634,1.9900134949112878
10.967550584783991,10541495293.953789,11265900681.505434,3.48627494899437,3.7258497232663252,1.8867304539893297,2.0111131648277865
11.034835733522046,10543076880.140158,11268079176.624626,3.4867980099214453,3.7265701934414532,1.906180686741687,2.031965090652406
11.10253367189856,10544682846.824524,11270245669.23622,3.487329133947449,3.7272866941568035,1.9254008546904913,2.052572236786529
11.170646932348834,10546313659.669395,11272399844.447887,3.487868475075916,3.727999121271436,1.9443938539012806,2.0729375303330317
11.239178062844477,10547969796.43604,11274541383.062906,3.4884161913116745,3.7287073692208637,1.9631625471263732,2.0930638615326607
11.308129626988721,10549651747.419333,11276669961.467236,3.4889724448046535,3.7294113309797083,1.9817097642594121,2.112954084194662
11.377504204112324,10551360015.903028,11278785251.512812,3.4895374020004586,3.730110898023103,2.0000383027861677,2.1326110161217176
11.447304389370062,10553095118.636774,11280886920.396889,3.490111233798122,3.7308059602867876,2.0181509282317434,2.1520374395292334
11.517532793837798,10554857586.335938,11282974630.537281,3.4906941157154083,3.7314964061258507,2.0360503746042937,2.1712361014590353
11.588192044610153,10556647964.205793,11285048039.44326,3.4912862280621733,3.7321821222720297,2.0537393448354133,2.190209714187527
11.65928478489881,10558466812.49139,11287106799.581978,3.4918877561222135,3.732862993789538,2.071220511217342,2.208960955628363
11.730813674131348,10560314707.054726,11289150558.24012,3.492498890344152,3.733538904029308,2.0884965158370976,2.2274924697296625
11.802781388050748,10562192239.980854,11291178957.380623,3.4931198265418875,3.734209734581607,2.105569971007729,2.2458068668658493
11.875190618815504,10564100020.214725,11293191633.494205,3.49375076610521,3.7348753652269333,2.1224434596968225,2.2639067242241295
11.948044075100292,10566038674.230661,11295188217.445457,3.4943919162212094,3.7355356738851184,2.1391195359524104,2.2817945861856574
12.021344482197318,10568008846.73653,11297168334.313177,3.4950434901071596,3.73619053656252,2.1556007253264813,2.299472964701448
12.095094582118284,10570011201.414854,11299131603.224764,3.4957057072556172,3.7368398272972536,2.1718895252962427,2.3169443396630647
12.169297133696915,10572046421.703138,11301077637.184265,3.4963787936924913,3.7374834181023258,2.187988405683305,2.3342111592681065
12.24395491269219,10574115211.616077,11303006042.893816,3.497062982248962,3.7381211789065794,2.203899809071017,2.351275840380566
12.319070711892197,10576218296.612316,11304916420.568134,3.4977585128481357,3.7387529774933426,2.219626151220108,2.368140768886067
12.394647341218555,10578356424.508764,11306808363.74165,3.4984656328074273,3.739378679436646,2.2351698214828533,2.3848083000420157
12.470687627831563,10580530366.445633,11308681459.067963,3.4991845971577145,3.739998148034896,2.2505331832159965,2.4012807588227107
12.547194416235943,10582740917.905659,11310535286.111134,3.499915668980416,3.7406112442418524,2.26571857419263,2.4175604402594377
12.624170568387273,10584988899.791243,11312369417.12846,3.500659119763722,3.7412178265947893,2.2807283070132924,2.4336496097755678
12.701618963799005,10587275159.563478,11314183416.844181,3.5014152297792918,3.7418177511396524,2.2955646695165117,2.4495505035166842
12.779542499650205,10589600572.447525,11315976842.213676,3.5021842884808945,3.742410871353077,2.3102299251890797,2.465265328675779
12.857944090893943,10591966042.70892,11317749242.177586,3.5029665949265105,3.7429970380610693,2.324726313576329,2.4807962638135224
12.936826670366308,10594372505.006025,11319500157.405327,3.503762458225611,3.743576099354185,2.3390560506927,2.4961454591736243
13.016193188896132,10596820925.824135,11321229120.02733,3.5045721980134443,3.744147900498971,2.353221329432925,2.511315036993309
13.096046615415371,10599312304.997229,11322935653.355413,3.50539614495431,3.74471228384549,2.367224319984151,2.5263070918089228
13.176389937070184,10601847677.323957,11324619271.590557,3.506234641275996,3.7452690887306774,2.381067170239369,2.5411236907566646
13.257226159332646,10604428114.284956,11326279479.51733,3.507088041337726,3.745818151377278,2.3947520062125105,2.555766873868466
13.338558306113187,10607054725.869217,11327915772.184158,3.5079567122341784,3.74635930478811,2.408280932455623,2.570238654363013
13.420389419873738,10609728662.51802,11329527634.56863,3.508841034438379,3.7468923786353687,2.4216560324785648,2.5845410189319185
13.502722561741496,10612451117.195591,11331114541.22681,3.509741402486509,3.7474171991446545,2.4348793691716506,2.5986759280210308
13.58556081162346,10615223327.596561,11332675955.925621,3.5106582257079535,3.7479335889733894,2.4479529852317765,2.6126453161068817
13.668907268321655,10618046578.501272,11334211331.257267,3.511591929004246,3.7484413670833026,2.460878903592534,2.626451091968264
13.752765049649028,10620922204.290962,11335720108.234417,3.51254295368089,3.7489403486065473,2.47365912785888,2.6400951389529075
13.83713729254608,10623851591.636007,11337201715.864979,3.513511758336411,3.749430344705073,2.4862956427469918,2.6535793152392495
13.922027153198243,10626836182.371775,11338655570.70513,3.5144988198134555,3.7499111624228028,2.498790414529965,2.666905454093274
14.007437807153904,10629877476.577969,11340081076.389053,3.5155046342171916,3.750382604530106,2.5111453914900532,2.680075364120374
14.093372449443216,10632977035.87898,11341477623.13388,3.516529718006798,3.750844469360078,2.5233625043782486,2.693090829512218
14.179834294697635,10636136486.98457,11342844587.218107,3.5175746091664326,3.7512965506360376,2.5354436668820286,2.7059536102885704
14.266826577270134,10639357525.492067,11344181330.431576,3.5186398684626994,3.751738637289629,2.5473907761021715,2.7186654425340127
14.354352551356216,10642641919.973673,11345487199.495039,3.5197260807963904,3.7521705132688585,2.5592057130396464,2.7312280386295216
14.44241549111566,10645991516.374704,11346761525.447166,3.5208338566570743,3.7525919573353663,2.5708903430936436,2.7436430874788242
14.531018690794967,10649408242.751637,11348003622.996454,3.5219638336900574,3.7530027428500903,2.582446516571914,2.7559122547294708
14.620165464850613,10652894114.38171,11349212789.835583,3.5231166783862276,3.7534026375465124,2.593876069214713,2.7680371829885346
14.709859148073031,10656451239.279537,11350388305.915298,3.524293087906502,3.753791403290515,2.60518082273373,2.7800194920328556
14.80010309571135,10660081824.160025,11351529432.67472,3.5254937920538825,3.75416879582583,2.616362585367558,2.791860779013715
14.89090068359894,10663788180.891453,11352635412.224712,3.5267195554076096,3.7545345645039654,2.6274231524553686,2.803562618655839
14.982255308279642,10667572733.487528,11353705466.480537,3.5279711796355704,3.754888451997354,2.638364307030638,2.8151265634505855
15.074170387134863,10671438025.693087,11354738796.239712,3.529249506003037,3.7552301939943864,2.649187820436983,2.826554143843198
15.16664935851142,10675386729.224522,11355734580.200686,3.530555418097931,3.755559518874865,2.6598954529683203,2.8378468684139495
15.25969568185012,10679421652.73346,11356691973.917221,3.5318898447952884,3.755876147364203,2.67048895453583,2.849006224053002
15.353312837815205,10683545751.570642,11357610108.683153,3.5332537634863583,3.756179792164586,2.680970065364477,2.8600336761288068
15.447504328424559,10687762138.436619,11358488090.341518,3.534648203600993,3.7564701575611337,2.6913405167221067,2.8709306686498195
15.542273677180681,10692074095.016893,11359324998.01133,3.536074250455616,3.7567469390008177,2.7016020316844807,2.8816986244192813
15.637624429202507,10696485084.71171,11360119882.7247,3.5375330494632036,3.757009822641733,2.71175632594001,2.892338945182832
15.733560151358056,10700998766.585423,11360871765.96618,3.5390258107466126,3.757258484870026,2.7218051086383483,2.902853011768655
15.830084432397797,10705619010.676907,11361579638.10511,3.540553814202026,3.757492591781449,2.7317500832874906,2.913242184219807
15.927200883088938,10710349914.831993,11362242456.710999,3.54211841506576,3.757711798624216,2.7415929487046045,2.923507801918423
16.024913136350513,10715195823.24126,11362859144.740654,3.5437210500450727,3.75791574919946,2.751335400026424,2.9336511837013743
16.123224847389228,10720161346.892519,11363428588.58432,3.545363244082189,3.7581040752150465,2.7609791297857433,2.9436736279669327
16.222139693836226,10725251386.177637,11363949635.956886,3.547046617830815,3.7582763955881586,2.770525829061417,2.9535764127719832
16.321661375884688,10730471155.928667,11364421093.618202,3.5487728959360636,3.758432315691363,2.779977188710172,2.9633607959192347
16.421793616428186,10735826213.199677,11364841724.904648,3.5505439162224417,3.7585714265362484,2.7893349006896413,2.973028015033803
