R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
1.0,39625486921.47069,39628034827.46541,15.860788902524911,15.861808746122186,0.0,0.0
1.0120606264911474,39625531510.19401,39628078289.141136,15.860806749935328,15.86182614241224,0.3757706903722965,0.375794846916536
1.0242667116936537,39625580610.813156,39628122813.47767,15.860826403310359,15.861843964050728,0.7426391448714854,0.7426868585076793
1.0366200099307066,39625619176.34126,39628168426.569,15.860841839832348,15.86186222148222,1.1008162444123657,1.1008869690788474
1.0491222966837304,39625666283.925674,39628215155.302864,15.860860695460635,15.861880925468999,1.4505078938423825,1.4506011157754564
1.0617753688475675,39625714621.109604,39628263027.1884,15.86088004325747,15.861900087022077,1.7919151747871431,1.792030356981286
1.0745810449887383,39625764316.81134,39628312070.474205,15.860899934824637,15.861919717448442,2.12523437103921,2.1253709879115443
1.0875411656068144,39625814844.46308,39628362314.12856,15.860920159394233,15.861939828343155,2.4506571141726816,2.4508146534677584
1.1006575933989453,39625865843.24486,39628413787.72612,15.860940572541802,15.861960431543983,2.768370491463813,2.7685484584183255
1.113932213527575,39625920606.20778,39628466521.5638,15.860962492368209,15.86198153917779,3.078557171763512,3.0787550749686834
1.127366933891388,39625973255.2474,39628520546.75664,15.860983566060122,15.862003163698917,3.3813954836529145,3.3816128477839835
1.1409636853995222,39626027282.43896,39628575895.20989,15.86100519138127,15.862025317877992,3.677059519742786,3.6772958965238867
1.1547244222490889,39626084649.88922,39628632599.66724,15.861028153698939,15.862048014821237,3.9657192738959877,3.9659742159482123
1.1686511222060412,39626144358.48786,39628690693.663475,15.861052053101881,15.862071267951544,4.247540716998419,4.247813773650944
1.1827457868894284,39626200933.043915,39628750211.51878,15.861074698049881,15.862095091006157,4.522685856963347,4.522976605478459
1.19701044205908,39626262394.61887,39628811188.493706,15.86109929911202,15.86211949809872,4.791312875901494,4.791620908687864
1.2114471379067577,39626325515.32093,39628873660.789024,15.861124564268577,15.862144503719225,5.053576230713487,5.053901132898955
1.2260579493508208,39626390953.60426,39628937665.495224,15.861150757077265,15.862170122713783,5.309626706866915,5.309968068891129
1.2408449763344431,39626455118.3587,39629003240.59648,15.861176440133908,15.86219637028622,5.559611503425711,5.559968935296311
1.2558103441274293,39626524037.568794,39629070424.99147,15.861204026243948,15.862223262006404,5.803674343872414,5.804047463238111
1.2709562036316695,39626590396.16889,39629139258.612755,15.861230587425394,15.862250813858038,6.041955540141062,6.042343978966376
1.2862847316902777,39626661616.37685,39629209782.452835,15.861259094549766,15.862279042249082,6.274592080851752,6.274995484534656
1.3017981314004599,39626735561.947235,39629282038.542015,15.861288692547754,15.862307964002893,6.50171773391089,6.502135736566335
1.3174986324301545,39626807994.480606,39629356069.94279,15.861317684926417,15.862337596355983,6.723463067738463,6.723895323154472
1.3333884913384921,39626885641.40006,39629431920.77889,15.861348764453613,15.862367956969644,6.939955569468329,6.940401738939897
1.34946999190012,39626960691.85407,39629509636.32083,15.861378804700449,15.86239906396418,7.151319700285649,7.151779458411098
1.3657454454334392,39627041074.41095,39629589263.04119,15.861410979214003,15.86243093594105,7.357676973672845,7.358150007468179
1.3822171911327976,39627124745.246574,39629670848.60514,15.8614444699182,15.862463591979065,7.559146051859675,7.559632033291542
1.3988875964046932,39627206134.83496,39629754441.87539,15.861477047513596,15.862497051636375,7.75584274955619,7.756341372555248
1.415759057208029,39627293127.89099,39629840092.936066,15.861511867994171,15.862531334960018,7.947880148974581,7.948391118024412
1.4328339983984741,39627378428.231606,39629927853.126495,15.861546010936022,15.862566462499453,8.13536865556611,8.135891683575066
1.4501148740769754,39627468998.273766,39630017775.17276,15.861582263167382,15.862602455359207,8.318416057901976,8.31895086767435
1.467604167942475,39627562086.29485,39630109913.214005,15.86161952326351,15.862639335209415,8.497127610538222,8.497673915357526
1.4853043936488803,39627656374.9362,39630204322.73004,15.861657263928738,15.862677124256834,8.671606055109184,8.672163578736399
1.5032180951663396,39627755929.476234,39630301060.563774,15.861697112361309,15.862715845253822,8.841951712298306,8.842520176073938
1.5213478471468749,39627851661.58541,39630400185.07108,15.861735430799587,15.862755521558332,9.008262501821699,9.008841649460189
1.5396962552944244,39627954624.783104,39630501756.17343,15.86177664360655,15.862796177154973,9.17063403339261,9.171223621122627
1.5582659567393489,39628058569.27669,39630605835.303185,15.861818249194227,15.862837836633112,9.32915967384425,9.329759448402454
1.5770596204174525,39628164557.97738,39630712485.47597,15.861860673011277,15.862880525215848,9.483930553596547,9.484540277428486
1.5960799474535783,39628273473.048805,39630821771.358765,15.861904268159007,15.862924268787266,9.635035653244152,9.635655095520063
1.615329671549826,39628385738.02868,39630933759.30645,15.861949204165736,15.862969093907052,9.782561851450154,9.783190782348942
1.6348115593784562,39628500453.72279,39631048517.408516,15.861995121113376,15.86301502782921,9.926593966273673,9.927232159889487
1.65452841097953,39628618999.733,39631166115.51548,15.862042571211513,15.863062098512621,10.067214808624836,10.067862041185753
1.6744830601633456,39628745472.14637,39631286625.285736,15.86209319399009,15.863110334639801,10.204505253515402,10.205161277963581
1.6946783749177292,39628861434.63432,39631410120.3246,15.862139609988603,15.863159765672556,10.338544191248335,10.339208807115543
1.7151172578202367,39628989459.09052,39631536676.212006,15.86219085399926,15.863210421863066,10.469408663848522,10.47008169608536
1.7358026464553273,39629118705.26616,39631666370.451614,15.862242587024328,15.863262334233514,10.597173942753642,10.597855187176975
1.7567375138365704,39629251834.39522,39631799282.56668,15.862295874268899,15.863315534614467,10.721913477689025,10.722602740814084
1.7779248688339402,39629387660.62478,39631935494.21157,15.862350241074756,15.8633700556895,10.84369898511076,10.844396077775745
1.7993677566062685,39629526965.02088,39632075089.21986,15.862406000077142,15.863425931014456,10.962600480520319,10.963305220432124
1.8210692590389104,39629669769.66889,39632218153.65481,15.862463160116105,15.863483195037652,11.078686324413217,11.079398533003735
1.8430324951866892,39629816847.99441,39632364775.87364,15.862522030768668,15.863541883125597,11.192023261495779,11.192742760867436
1.8652606217221832,39629967296.389404,39632515046.58227,15.862582250350032,15.86360203158491,11.302676454507822,11.303403068931738
1.88775683338942,39630122561.024536,39632669058.906166,15.862644397715103,15.863663677690672,11.410709525006606,11.411443079103543
1.9105243634630407,39630278519.04608,39632826908.47396,15.862706822620122,15.86372685971991,11.516184574390971,11.516924906867958
1.9335664842130058,39630439860.82207,39632988693.49867,15.862771402466299,15.86379161698408,11.61916223570784,11.619909197002245
1.9568865073748998,39630607691.16384,39633154514.84919,15.862838579473552,15.863857989857713,11.71970173287481,11.720455158444384
1.9804877846259143,39630776005.83589,39633324476.11479,15.862905950342403,15.863926019804214,11.81786086325608,11.818620598336148
2.0043737080665673,39630952979.26084,39633498683.692215,15.862976787027389,15.863995749410723,11.913696065585807,11.914461955260396
2.0285477107082346,39631129077.51206,39633677246.84965,15.8630472734089,15.864067222413727,12.007262434514109,12.008034331691603
2.0530132669665586,39631310659.71762,39633860277.827835,15.863119954838318,15.864140483739536,12.098613744798541,12.099391525678369
2.0777738931608125,39631499638.47295,39634047891.984245,15.863195596865163,15.864215579561975,12.187802536270611,12.188586061776489
2.102833148019282,39631691289.74232,39634240207.843346,15.863272308612132,15.864292557322523,12.274880090480044,12.275669221250059
2.1281946331907466,39631892247.059494,39634437347.1643,15.86335274526626,15.864371465757396,12.359896483401599,12.360691071557653
2.153861993762124,39632091571.548065,39634639435.06773,15.863432528352398,15.864452354948297,12.442900583707232,12.443700495140808
2.1798389187823672,39632305787.389046,39634846600.09778,15.863518271960801,15.864535276347244,12.523940129546006,12.524745217531404
2.206129141792668,39632508547.855156,39635058974.35231,15.863599430356587,15.864620282828707,12.603061680272473,12.603871834793969
