R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
8.540000000000001,14608984674.10552,15202375469.216892,5.3804992841826795,5.599045529494065,0.0,0.0
8.597833451484032,14609658777.907358,15204870910.055,5.380747557084881,5.599964602101962,0.07214223698902134,0.0750769697714157
8.656058554971644,14610342871.213305,15207369234.719213,5.38099950912844,5.600884736825033,0.14332056005443658,0.14915965369228146
8.714677962756408,14611037115.50606,15209870224.58284,5.381255199787548,5.601805853142914,0.2135479428741673,0.2222613966305305
8.773694345093414,14611741675.311527,15212373659.757036,5.38151468965721,5.60272787007039,0.28283718598284124,0.29439536344628486
8.833110390320895,14612456718.270544,15214879319.05384,5.381778040479665,5.603650706143779,0.3512009191084541,0.36557454139902507
8.89292880498269,14613182415.212795,15217386979.94852,5.382045315171603,5.6045742794070685,0.4186516034780747,0.4358117425223146
8.953152313951529,14613918940.232979,15219896418.541142,5.382316577852227,5.605498507397753,0.4852015340930012,0.5051196059664913
9.013783660553177,14614666470.769348,15222407409.51744,5.382591893872167,5.606423307132434,0.5508628419738151,0.5735106003097783
9.07482560669137,14615425187.684656,15224919726.108826,5.382871329843303,5.607348595092079,0.6156474963756826,0.6409970258381668
9.136280932973644,14616195275.349657,15227433140.051655,5.383154953669511,5.608274287207029,0.6795673069744058,0.7075910167945765
9.198152438838003,14616976921.729244,15229947421.545635,5.383442834578395,5.609200298841675,0.7426339260235655,0.7733045435976418
9.260442942680424,14617770318.471334,15232462339.211391,5.383735043154016,5.610126544778833,0.8048588504831625,0.8381494150305283
9.323155281983253,14618575660.998577,15234977660.047083,5.384031651370672,5.611052939203759,0.8662534241201805,0.9021372804002065
9.386292313444455,14619393148.603039,15237493149.384203,5.384332732627772,5.61197939568788,0.9268288395814389,0.9652796316675532
9.44985691310775,14620222984.544,15240008570.842348,5.384638361785852,5.612905827172126,0.9865961404391307,1.0275878055486716
9.513851976493612,14621065376.148924,15242523686.283072,5.384948615203759,5.613832145949942,1.0455662232094187,1.0890729855878092
9.578280418731175,14621920534.917788,15245038255.76267,5.3852635707770835,5.614758263649894,1.1037498393444807,1.1497462042022548
9.643145174691028,14622788676.630892,15247552037.484001,5.385583307977863,5.615684091217924,1.161157597198372,1.2096183446995885
9.708449199118894,14623670021.460308,15250064787.747154,5.385907907895624,5.616609538899184,1.2177999639670574,1.2687001432676266
9.77419546677023,14624564794.085104,15252576260.899055,5.386237453279826,5.617534516219477,1.2736872676030062,1.3270021909374574
9.840386972545746,14625473223.810503,15255086209.28192,5.386572028583742,5.6184589319662654,1.3288296987046953,1.3845349355199028
9.907026731627811,14626395544.691168,15257594383.180483,5.386911720009868,5.619382694169244,1.3832373123813586,1.4413086835157431
9.97411777961781,14627331995.658766,15260100530.768038,5.387256615556905,5.6203057100804585,1.4369200300933738,1.4973336020000831
10.041663172674433,14628282820.65403,15262604398.051207,5.387606805068396,5.621227886153972,1.4898876414686142,1.5526197204811851
10.109665987652873,14629248268.763477,15265105728.813353,5.387962380283079,5.622149128025016,1.5421498060950918,1.6071769327340832
10.178129322244988,14630228594.361021,15267604264.556675,5.388323434887044,5.62306934048867,1.593716055290266,1.6610149986093452
10.247056295120432,14631224057.254667,15270099744.442879,5.388690064567763,5.623988427478008,1.64459579384736,1.714143545817311
10.31645004606867,14632234922.838581,15272591905.232376,5.389062367070093,5.624906292041706,1.6947983017589459,1.7665720716880537
10.386313736142059,14633261462.25068,15275080481.222006,5.389440442254316,5.625822836321102,1.744332735918258,1.8183099449075188
10.456650547799802,14634303952.536095,15277565204.181147,5.38982439215635,5.626737961526671,1.7932081317984259,1.8693664072300085
10.52746368505292,14635362676.816732,15280045803.286236,5.390214321050191,5.627651567913906,1.8414334051100385,1.9197505751674069
10.598756373610232,14636437924.46718,15282522005.053608,5.390610335512703,5.628563554758581,1.8890173534373602,1.9694714416554597
10.670531861025248,14637529991.29736,15284993533.27057,5.391012544490885,5.629473820331367,1.9359686578534376,2.018537877697311
10.742793416844153,14638639179.74212,15287460108.924686,5.391421059371707,5.63038226187179,1.9822958845145437,2.0669586339847394
10.815544332754694,14639765799.05826,15289921450.13116,5.391835994054661,5.63128877556148,2.028007486234123,2.1147423424972236
10.888787922736167,14640910165.529137,15292377272.058308,5.392257465027131,5.632193256496731,2.0731118040366887,2.161897518079273
10.962527523210342,14642072602.677437,15294827286.850965,5.392685591442748,5.633095598660283,2.1176170686918736,2.208432559996181
11.036766493193477,14643253441.486378,15297271203.551842,5.393120495202864,5.633995694892363,2.161531402229013,2.2543557534685856
11.111508214449294,14644453020.629797,15299708728.020624,5.39356230104129,5.634893436860886,2.204862819432503,2.2996752711860107
11.186756091643064,14645671686.711601,15302139562.850897,5.3940111366124865,5.635788715030863,2.247619229318311,2.344399174799757
11.26251355249666,14646909794.51499,15304563407.284624,5.3944671325833555,5.6366814186328975,2.2898084365918527,2.3885354163953236
11.338784047944733,14648167707.262032,15306979957.124239,5.394930422728838,5.637571435630813,2.3314381430876114,2.4320918399446834
11.415571052291895,14649445796.884048,15309388904.642159,5.395401144031501,5.638458652688325,2.3725159491907477,2.475076182738636
11.49287806337096,14650744444.303404,15311789938.487616,5.395879436785318,5.639342955134728,2.4130493552410037,2.5174960767994867
11.570708602702329,14652064039.727348,15314182743.590797,5.396365444703893,5.64022422692959,2.4530457629192424,2.5593590502743684
11.649066215654345,14653404982.954435,15316567001.06403,5.396859315033311,5.6411023506263565,2.4925124766168207,2.600672528809326
11.727954471604855,14654767683.694317,15318942388.10001,5.397361198669926,5.641977207334873,2.5314567047882157,2.6414438369045645
11.807376964103739,14656152561.901539,15321308577.866898,5.3978712502832895,5.642848676682742,2.569885561287061,2.68168019925094
11.887337311036667,14657560048.124159,15323665239.40016,5.398389628444554,5.643716636775496,2.607806066686018,2.7213887420480702
11.967839154789845,14658990583.867998,15326012037.490982,5.398916495760622,5.644580964155494,2.645225149580653,2.7605764943041695
12.048886162415988,14660444621.977365,15328348632.57119,5.39945201901437,5.645441533759538,2.68214964787773,2.799250389117958
12.130482025801314,14661922627.033203,15330674680.594402,5.399996369311283,5.646298218875105,2.718586310068092,2.837417264942744
