R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
8.565,24475543278.32019,25036072005.670784,8.759168874524482,8.959767722364361,0.0,0.0
8.630957171149735,24476281399.015625,25038739937.120888,8.759433028980528,8.960722506568798,0.13336440315526327,0.13642389084341544
8.697422263890372,24477031946.055565,25041411235.019913,8.7597016305064,8.961678495538916,0.2647023276427737,0.2707852112873282
8.764399189613776,24477795147.45116,25044085598.410698,8.75997476070144,8.962635581569872,0.39404469586681934,0.4031153824370575
8.83189188983257,24478571236.08838,25046762724.36993,8.760252502909557,8.963593656253185,0.5214219606795334,0.5334453453518618
8.899904336412096,24479360449.858505,25049442307.94107,8.760534942265938,8.964552610452735,0.6468641125569846,0.6618055683429889
8.968440531804156,24480163031.793095,25052124042.06714,8.760822165745344,8.965512334280708,0.7704006866666919,0.7882260541602032
9.037504509282549,24480979230.203686,25054807617.52196,8.761114262212097,8.966472717072993,0.892060769828311,0.9127363470685551
9.10710033318042,24481809298.8264,25057492722.83988,8.761411322471849,8.967433647364023,1.0118730073690827,1.0353655398169899
9.177232099129444,24482653496.97167,25060179044.24384,8.761713439325144,8.96839501286104,1.129865609875741,1.1561422805005064
9.247903934300854,24483512089.67932,25062866265.57177,8.762020707622941,8.969356700417753,1.2460663598444293,1.2750947793174154
9.319119997648315,24484385347.879326,25065554068.201286,8.76233322432412,8.970318596007388,1.3605026182302398,1.392250815223323
9.390884480152671,24485273548.558315,25068242130.972507,8.76265108855509,8.971280584695062,1.4732013308979117,1.5076377424833736
9.463201605068587,24486176974.93229,25070930130.10908,8.762974401671588,8.972242550609531,1.5841890349752548,1.6212824971243238
9.53607562817308,24487095916.625732,25073617739.137215,8.76330326732279,8.973204376914198,1.6934918651107917,1.73321160328794
9.609510838015956,24488030669.85742,25076304628.802742,8.76363779151779,8.974165945777449,1.801135559637099,1.8434511794871893
9.683511556172203,24488981537.63327,25078990466.986065,8.763978082694631,8.9751271383422,1.9071454666413874,1.952026944766778
9.758082137496299,24489948829.946564,25081674918.614952,8.764324251791955,8.976087834694699,2.011546549944672,2.0589642247693587
9.833226970378496,24490932863.985874,25084357645.575077,8.764676412323412,8.977047913832505,2.1143633949910603,2.164287957708943
9.908950477003067,24491933964.3511,25087038306.618233,8.765034680454978,8.97800725363164,2.215620214648502,2.2680227002528475
9.98525711360855,24492952463.277985,25089716557.26812,8.765399175085296,8.978965730812877,2.3153408549224324,2.3701926333135823
10.062151370749982,24493988700.871548,25092392049.72361,8.76577001792923,8.97992322090712,2.413548800583657,2.4708215677520293
10.13963777356319,24495043025.348877,25095064432.759373,8.766147333604737,8.980879598219829,2.5102671807118973,2.569932949993302
10.217720882031054,24496115793.291733,25097733351.62382,8.76653124972328,8.981834735794521,2.6055187741561836,2.6675498675564486
10.296405291251874,24497207369.909508,25100398447.934162,8.76692189698393,8.982788505375188,2.699326014913615,2.7636950544995016
10.375695631709803,24498318129.31302,25103059359.568577,8.767319409271346,8.983740777367723,2.7917109974276544,2.858390896781013
10.455596569547307,24499448454.799725,25105715720.555244,8.767723923757854,8.984691420800203,2.8826954818072323,2.9516594375393113
10.536112806839805,24500598739.150978,25108367160.95822,8.76813558100982,8.985640303282047,2.9723008989680624,3.043522382290856
10.617249081872341,24501769384.94194,25111013306.76002,8.768554525098567,8.986587290961994,3.060548355697239,3.134001104048722
10.699010169418447,24502960804.864758,25113653779.7406,8.76898090371602,8.987532248484795,3.1474586396425126,3.223116648362566
10.781400881021145,24504173422.06591,25116288197.352898,8.769414868295447,8.988475038946676,3.2330522242274014,3.310889738281188
10.864426065276065,24505407670.498272,25118916172.594475,8.76985657413745,8.989415523849392,3.317349273493279,3.397340779238782
10.948090608116823,24506663995.288853,25121537313.875237,8.770306180541557,8.9903535630529,3.400369646869802,3.4824898638661788
11.032399433102508,24507942853.12304,25124151224.881138,8.770763850943752,8.991289014726568,3.482132903874654,3.566356776728002
11.117357501707454,24509244712.646248,25126757504.43345,8.771229753060204,8.992221735298827,3.562658308743941,3.6489609989870218
11.202969813613226,24510570054.884037,25129355746.343697,8.771704059037617,8.993151579405245,3.6419648349943263,3.730321712996694
11.289241407002809,24511919373.681656,25131945539.26381,8.772186945610533,8.994078399834903,3.720071169917981,3.8104578068229253
11.376177358857145,24513293176.16421,25134526466.531425,8.772678594266013,8.995002047475033,3.796995719011648,3.889387878696246
11.463782785253866,24514691983.218674,25137098106.010086,8.77317919141614,8.995922371253828,3.8727566103407347,3.9671302413952536
11.552062841668384,24516116329.99894,25139660029.924015,8.773688928578759,8.996839218081316,3.9473716988397247,4.043702926562486
11.64102272327731,24517566766.45545,25142211804.687374,8.774208002567018,8.997752432788253,4.020858570549924,4.119123688953672
11.730667665264132,24519043857.890724,25144752990.727554,8.77473661568819,8.99866185806288,4.093234546795587,4.193410010621285
11.821002943127356,24520548185.542484,25147283142.302414,8.775274975952334,8.999567334385523,4.164516688299638,4.266579105033487
11.912033872990918,24522080347.19603,25149801807.310974,8.77582329729147,9.000468699960843,4.234721799239926,4.338647921129292
12.003765811917045,24523640957.82773,25152308527.09737,8.776381799789862,9.001365790647675,4.303866431247167,4.40963314731096
12.096204158221537,24525230650.281563,25154802836.247753,8.77695070992613,9.002258439886347,4.371966887345634,4.479551215374544
12.189354351791406,24526850075.980858,25157284262.379642,8.777530260827966,9.003146478623291,4.439039225837573,4.548418304379402
