R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
7.415000000000001,10475981078.068573,11116138743.24003,3.464608139564152,3.676320574020584,0.0,0.0
7.4604905016426235,10476621926.212032,11118566939.924854,3.4648200803530393,3.677123625299124,0.042123524602210805,0.044701099756736605
7.506260084302065,10477271388.89412,11120997700.558495,3.4650348701352978,3.6779275245247796,0.08373751126784196,0.08886849820954504
7.552310460120662,10477929592.569275,11123430849.012497,3.4652525507318397,3.6787322134484883,0.1248481897821654,0.13250869397998938
7.598643351744631,10478596665.857784,11125866208.229753,3.4654731646798633,3.679537633514064,0.16546171470240295,0.17562810597023168
7.645260492388493,10479272739.592152,11128303600.200071,3.465696755248191,3.6803437258501175,0.2055841662811257,0.21823307432845065
7.692163625899926,10479957946.864744,11130742845.935297,3.4659233664530245,3.6811504312618286,0.24522155137864537,0.2603298614024546
7.739354506824989,10480652423.076782,11133183765.444016,3.4661530430741476,3.6819576902225792,0.2843798043644837,0.30192465268157537
7.78683490047375,10481356305.988665,11135626177.705809,3.46638583067157,3.682765442865441,0.3230647880080889,0.3430235577270149
7.834606582986338,10482069735.771723,11138069900.645035,3.4666217756026434,3.6835736289745022,0.3612822943589396,0.3836326110907897
7.882671341399372,10482792855.06144,11140514751.104141,3.466860925039661,3.6843821879760426,0.3990380456161387,0.42375777322337316
7.931030973712815,10483525809.012188,11142960544.816494,3.4671033269879623,3.685191058929547,0.4363376949876707,0.46340493137021577
7.979687288957237,10484268745.353537,11145407096.378698,3.467349030304552,3.6860001805185525,0.4731868275394276,0.5025799004572457
8.028642107261476,10485021814.44817,11147854219.22241,3.4675980847172583,3.686809491041324,0.5095909610341353,0.5412884239654849
8.077897259920734,10485785169.351519,11150301725.58561,3.4678505408444513,3.687618928401356,0.5455555467603302,0.5795361747949312
8.127454589465087,10486558965.873123,11152749426.483343,3.468106450215339,3.6884284300976944,0.5810859703514979,0.6173287561178179
8.177315949728392,10487343362.639812,11155197131.677872,3.4683658652908598,3.6892379332150655,0.6161875525954871,0.6546717022213634
8.227483205917654,10488138521.160751,11157644649.648283,3.468628839485196,3.690047374413825,0.6508655502343645,0.6915704793401813
8.277958234682785,10488944605.894459,11160091787.559477,3.468895427187939,3.6908566899197024,0.6851251567547927,0.728030486478423
8.328742924186818,10489761784.31783,11162538351.230553,3.469165683786914,3.6916658155133444,0.7189715031690836,0.7640570562218157
8.37983917417653,10490590226.997257,11164984145.10255,3.4694396656917035,3.6924746865196463,0.7524096587870299,0.7996554555396882
8.431248896053507,10491430107.661957,11167428972.205563,3.4697174303578953,3.693283237796878,0.7854446319786437,0.834830886577117
8.482974012945657,10492281603.279507,11169872634.12516,3.4699990363120663,3.694091403725576,0.8180813709279319,0.8695884874373178
8.535016459779134,10493144894.13378,11172314930.96814,3.4702845431775557,3.694899118197219,0.8503247643777965,0.9039333329543692
8.587378183350733,10494020163.9053,11174755661.327536,3.4705740117010406,3.6957063146026563,0.8821796423662173,0.9378704354564237
8.640061142400706,10494907599.754139,11177194622.24694,3.470867503779951,3.6965129258203056,0.9136507769537974,0.9714047455194821
8.693067307686038,10495807392.405443,11179631609.184021,3.471165082490756,3.6973188842040883,0.944742882942808,1.0045411527118644
8.746398662054172,10496719736.237698,11182066415.9733,3.4714668121181536,3.6981241215711225,0.9754606185878426,1.037284486329484
8.800057200517184,10497644829.373869,11184498834.788095,3.471772758185214,3.6989285691891323,1.0058085862981898,1.0696395161220287
8.854044930326396,10498582873.77549,11186928656.101656,3.4720829874844945,3.6997321577635973,1.035791333332029,1.1016109530101488
8.908363871047484,10499534075.339832,11189355668.647429,3.472397568110178,3.700534817424611,1.065413352482594,1.133203449793789
8.963016054636018,10500498644.0003,11191779659.378445,3.4727165694912725,3.7013364777134488,1.0946790827563697,1.1644216018517282
9.018003525513468,10501476793.830185,11194200413.425806,3.4730400624259277,3.7021370675688403,1.123592910043463,1.1952699478324544
9.073328340643682,10502468743.149881,11196617714.056202,3.47336811911689,3.702936515312916,1.1521591677802454,1.2257529703364751
9.128992569609846,10503474714.637741,11199031342.628475,3.4737008132081675,3.7037347486368466,1.180382137604384,1.2558750965901584
9.184998294691889,10504494935.444742,11201441078.549187,3.474038219822951,3.7045316945861453,1.2082660500023534,1.2856406991112024
9.241347610944372,10505529637.313055,11203846699.227123,3.4743804156028273,3.705327279545623,1.2358150849495417,1.3150540963658264
9.29804262627488,10506579056.698778,11206247980.02674,3.4747274787483695,3.70612142922399,1.263033372543079,1.3441195534178092
9.355085461522856,10507643434.898937,11208644694.220509,3.475079489061138,3.7069140686380995,1.2899249936274488,1.3728412825694227
9.412478250538943,10508723018.182976,11211036612.940098,3.475436527987167,3.707705122096798,1.3164939804130287,1.4012234439943891
9.47022314026481,10509818057.928938,11213423505.126368,3.4757986786620045,3.70849451318439,1.3427443170876474,1.42927014636295
9.528322290813458,10510928810.764511,11215805137.478155,3.476166025957355,3.7092821647437013,1.3686799404212555,1.4569854474591195
9.58677787555003,10512055538.713217,11218181274.399767,3.476538656529429,3.7100679988587104,1.3943047403638362,1.4843733547902376
9.645592081173117,10513198509.345905,11220551677.947186,3.4769166588690466,3.710851936836761,1.4196225606366317,1.5114378261888888
9.70476710779654,10514357995.937836,11222916107.77287,3.477300123353583,3.7116338991903053,1.444637199316809,1.5381827704072877
9.764305169031672,10515534277.63161,11225274321.069195,3.477689142300859,3.712413805618199,1.4693524094156598,1.5646120477042147
9.824208492070229,10516727639.606205,11227626072.510393,3.478083810025038,3.7131915749864985,1.493771899450436,1.5907294704245818
9.884479317767598,10517938373.252365,11229971114.193,3.478484222894637,3.713967125308767,1.5178993340099325,1.6165388035717227
9.945119900726652,10519166776.354742,11232309195.574736,3.478890479392758,3.7147403737258613,1.5417383343139008,1.6420437653724709
10.006132509382095,10520413153.280993,11234640063.411728,3.479302680179632,3.7155112364851686,1.5652924787664175,1.667248027835128
10.067519426085308,10521677815.17824,11236963461.694075,3.4797209281575867,3.7162796289192976,1.5885653035032936,1.692155217300389
10.129282947189758,10522961080.177235,11239279131.57967,3.480145328538573,3.717045465424193,1.6115603029336454,1.7167689149853136
10.191425383136858,10524263273.60458,11241586811.326159,3.4805759889143455,3.7178086594366304,1.6342809302756982,1.741092657520397
