galaxy,M_bary_Msun,median_percent_close_outer,mean_percent_close_outer,n_outer_points
CamB,112394767.82588755,67.05881492065585,67.36647998409077,4
D564-8,77150562.58220007,82.24884356862194,81.12045201557622,3
D631-7,663742166.3309507,98.37623227013748,97.43299709402874,8
DDO064,545773143.8763529,72.74312312975042,73.8094116712605,7
DDO154,390632815.869067,92.72565994709689,89.99112728597567,6
DDO161,3222858243.9113035,82.6313194954369,82.2435601069548,15
DDO168,752060069.2698282,83.15174267201166,84.68648855759541,5
DDO170,2453190498.5933385,75.34757591138721,76.50387530005935,4
ESO079-G014,66171727388.28342,87.68240094374474,87.791787287363,7
ESO116-G012,7753144548.39537,79.10450365196435,79.49534822804846,7
ESO444-G084,316710595.55163217,66.0975980485856,66.96673503065041,3
ESO563-G021,416329233918.97754,82.48030590394451,81.85803194292347,15
F561-1,7412943144.567857,35.924943494924,36.902469714224026,3
F563-1,8113062367.739989,79.41044583677052,80.43422873016345,8
F563-V1,1740395505.445284,-24.06394662901359,-24.6312554270289,3
F563-V2,7286328539.632665,72.61984790321635,70.0545394981504,5
F565-V2,2217729614.6875196,86.49318126845938,86.34943154325565,3
F568-1,14592068480.080297,67.9779930825211,66.85597905938222,6
F568-3,16383648082.121796,86.20066773691309,87.901399065943,9
F568-V1,9817796411.368776,73.54625095630618,73.24300050252035,7
F571-8,11568624595.980665,74.40154010734369,76.60034754869055,6
F571-V1,4866069686.10675,98.06521411825251,97.82652254459406,3
F574-1,10019950906.891077,88.05602363541247,88.55195401159169,7
F579-V1,18092197188.438366,89.30858576455148,88.99938898846506,7
F583-1,7017795986.575673,85.38952816962473,87.09556192477568,12
F583-4,2726869499.166163,94.46758207961574,94.719057098907,6
IC2574,3122504854.412138,78.35649248964025,77.81126646581086,17
IC4202,227469262545.01056,96.32875932086412,95.55432418375544,16
KK98-251,333390783.4037459,89.28524062496518,90.40610052767543,7
NGC0024,5619659211.673235,73.03292606893834,73.78988714509576,14
NGC0055,10777708670.039124,94.79117515578241,95.4955861029788,10
NGC0100,4646746880.113785,90.88353816497249,91.46030296220691,10
NGC0247,12280713985.461061,92.6287086869348,92.66793644279171,13
NGC0289,127082877576.95001,85.18296110130171,85.41912983058411,14
NGC0300,4969468110.9269495,88.21744203334973,87.66067142088274,12
NGC0801,410370537139.8599,93.64536322615501,92.95624145244693,6
NGC0891,162123437301.0853,90.4475274269821,90.42643745187706,9
NGC1003,16762544966.59965,91.71297942974178,91.75297514854805,18
NGC1090,98062760919.1376,95.63073529647073,96.26414010410453,12
NGC1705,812881992.4964519,75.73634257737909,75.20635024131145,7
NGC2366,1217587883.9910815,91.19831590454973,87.85541366099642,13
NGC2403,17967944378.990578,80.67915769022788,82.56810705378186,36
NGC2683,98829129363.37416,93.81265983275964,94.09996380938783,5
NGC2841,260390267391.49533,68.48352802612294,68.99121270852312,25
NGC2903,92112324264.26097,90.38628702443748,91.75545038240796,17
NGC2915,1574697493.309375,82.13950756103958,80.06292175342372,15
NGC2955,377596677278.7983,95.4964789455532,91.44441741674778,12
NGC2976,3333981145.6080394,94.28018011484444,94.85471358279275,13
NGC2998,207160693760.56613,90.54155214107088,91.15864372460929,6
NGC3109,803847274.421068,88.32059413901283,88.15540451553245,12
NGC3198,62513544728.79689,87.8224878519185,90.02560656468206,21
NGC3521,98826473781.02208,78.4671585107272,79.99504257519712,20
NGC3726,92170571955.68889,86.51826619366528,87.28598970542417,6
NGC3741,317529102.34425414,90.56953040361778,89.8691422277275,10
NGC3769,27494500070.679104,97.38544535715536,96.37706591172245,6
NGC3877,97435966075.90639,76.80645276641276,76.82223873030098,6
NGC3893,72642437002.74664,91.21936262638103,91.64317480047984,5
NGC3917,31734780735.97077,93.71145225441524,92.71751229337319,8
NGC3949,43177572189.61805,90.85531716931025,90.38237643817962,3
