gal_id,r_kpc,g_obs,g_bar,g_mod
MilkyWay,5.25,9792.879642758566,11103.821074137324,12349.33866901095
MilkyWay,5.45,9541.635626901048,10560.984523146308,11824.588269491629
MilkyWay,5.550000000000001,9771.28846083996,10302.172244962434,11574.038539402174
MilkyWay,5.65,9466.85883925559,10051.403431363517,11331.010447251994
MilkyWay,5.75,9096.401300874257,9808.41591136207,11095.242566767225
MilkyWay,5.8500000000000005,8716.304195288172,9572.954143368619,10866.481512842161
MilkyWay,5.95,9115.441811172292,9344.7692540415,10644.481914563077
MilkyWay,6.050000000000001,8642.387661820223,9123.61906876912,10429.006373834469
MilkyWay,6.15,8742.184534098824,8909.268129051015,10219.825405901012
MilkyWay,6.25,8724.506735322264,8701.48769395832,10016.717359967699
MilkyWay,6.3500000000000005,8391.77272282761,8500.05572427515,9819.468319520112
MilkyWay,6.45,8359.687246206653,8304.756848958521,9627.871982947698
MilkyWay,6.550000000000001,8096.157915476547,8115.3823142935635,9441.729525764244
MilkyWay,6.65,8080.916181953366,7931.729916631122,9260.849446172528
MilkyWay,6.75,7859.856842086586,7753.603919930827,9085.04739599011
MilkyWay,6.8500000000000005,7582.13972577827,7580.814959536642,8914.145999085362
MilkyWay,6.95,7566.762321741222,7413.179933717269,8747.97465950224
MilkyWay,7.050000000000001,7418.795495066194,7250.521884536856,8586.369361407107
MilkyWay,7.15,7390.316254881984,7092.669869601809,8429.17246289252
MilkyWay,7.25,7208.43971100122,6939.4588261735225,8276.232485539022
MilkyWay,7.35,7166.414683911505,6790.729429055771,8127.403901479106
MilkyWay,7.45,7092.603601604344,6646.327943569162,7982.546919538813
MilkyWay,7.550000000000001,7020.850223941402,6506.106074819565,7841.527271858503
MilkyWay,7.65,6923.590878155132,6369.9208143585365,7704.216002221998
MilkyWay,7.75,6836.521711529281,6237.634285224775,7570.489257155956
MilkyWay,7.85,6783.810118067359,6109.113586249406,7440.2280807025345
MilkyWay,7.95,6700.89859842173,5984.23063640618,7313.31821361973
MilkyWay,8.05,6571.978159439832,5862.862019891603,7189.649897626596
MilkyWay,8.15,6480.588787748097,5744.888832530661,7069.117685185811
MilkyWay,8.25,6362.096912218709,5630.196530021003,6951.620255203284
MilkyWay,8.350000000000001,6296.357400925359,5518.674778452779,6837.060234924168
MilkyWay,8.45,6224.134839280717,5410.217307472553,6725.344028216083
MilkyWay,8.55,6084.26663982564,5304.7217663973315,6616.381650352775
MilkyWay,8.65,6020.6702691141345,5202.089583529201,6510.086569344802
MilkyWay,8.75,5854.627814219914,5102.225828870847,6406.375553806295
MilkyWay,8.850000000000001,5707.432602337913,5005.039080398196,6305.168527298845
MilkyWay,8.95,5681.9437349341915,4910.441294007163,6206.388429053245
MilkyWay,9.05,5538.460159251545,4818.347677216954,6109.961080936741
MilkyWay,9.15,5464.906246066499,4728.676566682524,6015.815060507234
MilkyWay,9.25,5390.7664870724075,4641.349309542296,5923.881579974806
MilkyWay,9.35,5273.820435153498,4556.290148604795,5834.094370875404
MilkyWay,9.45,5265.029780492265,4473.426111358434,5746.389574250141
MilkyWay,9.55,5246.343575628838,4392.686902771783,5660.70563611577
MilkyWay,9.650000000000002,5213.417052469213,4314.004801838031,5576.9832080078795
MilkyWay,9.75,5137.425168274097,4237.314561805166,5495.165052376246
MilkyWay,9.85,5118.9926876010395,4162.553314023841,5415.195952612548
MilkyWay,9.95,5079.550177397816,4089.6604753369274,5337.022627493114
MilkyWay,10.05,5121.347328412057,4018.5776589281013,5260.593649823078
MilkyWay,10.150000000000002,4982.654239192606,3949.248588542003,5185.859369073755
MilkyWay,10.25,5029.929469780543,3881.619015984497,5112.771837810981
MilkyWay,10.35,4907.263240433169,3815.636641808769,5041.284741719018
MilkyWay,10.45,4884.848120325013,3751.2510390911675,4971.353333032088
MilkyWay,10.55,4876.015782214055,3688.4135801994316,4902.934367193098
MilkyWay,10.650000000000002,4670.71045475937,3627.0773664556887,4835.986042567266
MilkyWay,10.75,4644.984781039261,3567.197160596526,4770.467943046139
MilkyWay,10.85,4582.153062775991,3508.7293219332214,4706.340983385687
MilkyWay,10.95,4545.141527020208,3451.631744116175,4643.567357129966
MilkyWay,11.05,4306.136877694351,3395.8637954089477,4582.11048697962
MilkyWay,11.150000000000002,4462.036213062338,3341.3862613790243,4521.934977472138
MilkyWay,11.25,4379.538160841189,3288.1612899142474,4463.006569847981
MilkyWay,11.35,4454.193345360328,3236.152338476018,4405.292098983947
