gal_id,r_kpc,g_obs,g_bar,g_mod
MilkyWay,5.25,9817.630096716612,10902.464971000585,11633.148118783572
MilkyWay,5.75,9212.871638462173,9652.961919561974,10406.911839740123
MilkyWay,6.25,8590.799125405341,8578.978185067579,9349.588882819453
MilkyWay,6.75,7817.009110118874,7655.349484942345,8436.678261591658
MilkyWay,7.25,7257.613453477822,6859.456268697951,7646.371520772794
MilkyWay,7.75,6855.856082050829,6171.628604595614,6959.850965820337
MilkyWay,8.25,6386.562607496519,5575.1038784395405,6361.172044188497
MilkyWay,8.75,5887.828404928415,5055.767015453784,5836.958372755824
MilkyWay,9.25,5392.108668764167,4601.810432276592,5376.040557342731
MilkyWay,9.75,5155.334572263004,4203.386764909515,4969.104535559269
MilkyWay,10.25,4986.695291793978,3852.2888366120155,4608.377383104023
MilkyWay,10.75,4674.805719805951,3541.6700042642688,4287.358776088886
MilkyWay,11.25,4402.775140442087,3265.807071810169,4000.596965998681
MilkyWay,11.75,4433.86014357232,3019.9028486546977,3743.5043306463817
MilkyWay,12.25,4265.046710899236,2799.9234404841463,3512.2065179506826
MilkyWay,12.75,4017.14497417884,2602.4649460323512,3303.419399046763
