gal_id,r_kpc,g_obs,g_bar,g_mod
CamB,0.16,24.750625,109.513125,630.0955541625985
CamB,0.41,57.135609756097566,262.5817073170732,876.2461028636105
CamB,0.57,80.8843859649123,297.8415789473685,977.3270746333724
CamB,0.73,107.77657534246575,320.64561643835617,1070.6355188680743
CamB,0.9,132.01111111111112,310.45877777777775,1140.1031727499287
CamB,1.06,156.99056603773585,286.3124528301887,1194.8350130016206
CamB,1.22,177.12295081967213,248.32926229508197,1238.7906395957611
CamB,1.47,192.0,216.39210884353747,1338.8234852637945
CamB,1.79,225.70391061452517,150.86938547486037,1443.1764506211382
D512-2,0.96,546.2604166666666,247.05093749999992,1105.8663537330062
D512-2,1.92,584.5052083333334,254.36333333333343,1613.9310982105874
D512-2,2.88,480.50000000000006,166.04725694444446,1924.1329845375817
D512-2,3.83,336.50391644908615,122.36409921671017,2035.2213863989425
D564-8,0.51,143.00313725490193,102.92254901960786,757.1631765009658
D564-8,1.02,223.5392156862745,101.37696078431372,989.8618378131945
D564-8,1.53,256.2352941176471,80.27692810457515,1234.714657772696
D564-8,2.04,235.10294117647055,60.59906862745097,1480.4817207364456
D564-8,2.56,225.0,45.488828125000005,1695.5509695957276
D564-8,3.07,203.5830618892508,35.20654723127036,1843.6451532063045
D631-7,0.45,157.17355555555554,378.57800000000003,1008.2460469752627
D631-7,0.9,352.0444444444445,470.43388888888876,1300.0782838610398
D631-7,1.35,500.7407407407407,525.8278518518517,1584.5042190328636
D631-7,1.8,530.4499999999999,448.3973888888889,1745.934690752923
D631-7,2.25,535.1511111111112,352.36284444444436,1872.177936494326
D631-7,2.69,559.6431226765799,288.73966542750935,1986.1326126753218
D631-7,3.14,575.2388535031847,232.83519108280254,2057.223511042583
D631-7,3.59,579.2089136490251,192.51100278551533,2087.746814204984
D631-7,4.04,589.4653465346533,161.28249999999994,2079.943125210976
D631-7,4.49,597.6035634743874,134.95993318485526,2042.1655108354855
D631-7,4.94,607.902834008097,114.52698380566802,1987.349825402325
D631-7,5.39,594.352504638219,97.40022263450832,1922.3140509297345
D631-7,5.84,584.0,83.57277397260275,1853.6456151533062
D631-7,6.29,544.0779014308426,72.15379968203494,1784.7326360805291
D631-7,6.74,493.95994065281906,62.735014836795244,1717.7781410563578
D631-7,7.19,456.6467315716272,54.80212795549373,1653.7679869217136
DDO064,0.1,395.641,38.416,538.4407250028938
DDO064,0.3,644.0333333333334,132.72033333333331,703.9503702460277
DDO064,0.49,496.65306122448976,190.83448979591836,836.8090518691394
DDO064,0.69,490.66666666666663,289.8065217391304,1021.7471447271388
DDO064,0.89,568.8202247191011,262.16011235955057,1086.9936294706583
DDO064,1.09,644.2660550458716,269.7146788990825,1193.3923160181762
DDO064,1.29,965.9612403100773,299.9842635658916,1327.0331137640117
DDO064,1.48,1108.277027027027,352.6081081081082,1480.371037160788
DDO064,1.68,1162.8809523809525,374.97738095238105,1609.2954435099423
DDO064,1.88,1140.2606382978722,378.5091489361702,1717.56504797896
DDO064,2.08,1035.076923076923,360.8363461538462,1800.3548584489597
DDO064,2.27,944.3568281938324,334.4237004405287,1863.3124125894842
DDO064,2.37,908.42194092827,325.01274261603373,1897.9565658565339
DDO064,2.98,738.1241610738253,264.32651006711416,2050.2063396769054
DDO154,0.49,388.6530612244899,337.80346938775523,983.7780314609761
DDO154,0.99,471.2727272727273,270.0546464646465,1143.644809222308
DDO154,1.48,564.331081081081,193.14824324324323,1320.9111722959233
DDO154,1.97,597.2030456852791,157.66192893401012,1542.598948160386
DDO154,2.47,590.7854251012146,130.27744939271255,1744.938978879616
DDO154,2.96,595.9459459459459,117.00864864864866,1897.5598270956389
DDO154,3.46,574.9017341040462,109.77367052023122,1989.9202929562998
DDO154,3.95,542.706329113924,96.49139240506332,2013.670630341
DDO154,4.44,506.0270270270269,80.78704954954955,1990.597528512778
DDO154,4.94,470.2914979757085,67.630971659919,1940.4538132565763
DDO154,5.43,413.76795580110496,56.71103130755065,1876.9535747337634
DDO154,5.92,349.7043918918919,47.93871621621623,1807.8911285297163
DDO161,0.6,426.6666666666667,341.7008333333333,1034.0572233782973
DDO161,0.73,377.4794520547946,367.3189041095889,1117.3088065393074
DDO161,0.85,407.0117647058824,376.07400000000007,1181.8152013328931
DDO161,0.98,408.16326530612247,406.8670408163263,1275.518721494626
DDO161,1.07,427.9999999999999,422.51757009345795,1336.0800749266932
DDO161,1.54,542.3441558441558,477.40389610389616,1637.1779247994655
DDO161,2.02,535.8465346534653,481.28415841584155,1891.255203068832
DDO161,2.49,497.6064257028113,454.3505622489961,2077.0589833337176
DDO161,2.96,477.6216216216217,411.64814189189195,2192.199320338882
DDO161,3.43,480.5714285714286,363.7894169096209,2239.858905525156
DDO161,3.9,467.5102564102565,328.68833333333333,2244.4045021518996
DDO161,4.37,473.74141876430207,296.0166819221968,2208.9742984726545
DDO161,4.86,492.0185185185185,266.4642798353909,2146.6197230978423
DDO161,5.34,496.6760299625468,241.24198501872664,2071.9195971298527
DDO161,5.81,483.4767641996558,219.05130808950085,1992.899779892237
DDO161,6.28,481.68789808917194,203.02229299363057,1916.8865023634817
DDO161,6.75,491.52000000000004,189.45140740740746,1843.2285381215563
DDO161,7.22,493.6412742382272,179.17927977839332,1774.4809455224663
DDO161,7.69,475.9752925877763,171.89628088426522,1711.217249212993
DDO161,8.16,468.0441176470588,165.93225490196087,1652.154678852109
DDO161,8.64,457.917824074074,158.63084490740738,1593.7053101120168
DDO161,9.11,435.6750823271131,152.71092206366632,1540.6628658553414
DDO161,9.58,434.2640918580376,144.51962421711903,1488.1408935317857
DDO161,10.05,428.1950248756218,136.2770945273632,1438.1872338943424
DDO161,10.52,433.1036121673004,125.24800380228136,1387.8827825857004
DDO161,10.99,406.0272975432211,114.49281164695182,1340.106142645854
DDO161,11.46,389.3752181500872,103.97281849912738,1294.6455493477179
DDO161,11.94,371.4874371859296,94.42804857621441,1251.3970676066936
DDO161,12.41,359.5680902497985,85.90185334407737,1211.6577106770653
DDO161,12.9,340.7511627906976,78.69889147286823,1173.6507476343995
DDO161,13.37,326.792071802543,71.65925205684368,1138.603938416204
DDO168,0.41,548.7804878048781,431.52804878048784,1045.192444327025
DDO168,0.82,667.7560975609756,594.0999999999999,1385.6847158471155
DDO168,1.24,687.6129032258065,509.61306451612904,1510.4891571018818
DDO168,1.64,799.0487804878051,404.7073780487805,1617.780795586456
DDO168,2.06,939.8058252427185,373.4330582524271,1803.1656123233104
DDO168,2.47,1098.9514170040486,324.7521457489878,1939.4136752358916
DDO168,2.89,968.3079584775086,282.1323875432525,2043.1269860598497
DDO168,3.3,910.0121212121211,246.2435454545455,2101.9502523984193
DDO168,3.71,815.3638814016173,218.75288409703504,2124.3775880010885
DDO168,4.12,656.3106796116505,190.55449029126214,2109.3599528421446
DDO170,1.87,410.3155080213903,217.22914438502673,1551.1295220864167
DDO170,3.36,535.047619047619,183.68077380952386,2049.3374813731366
DDO170,4.86,567.1296296296296,169.0435596707819,2049.1990029332333
DDO170,6.35,486.82834645669294,153.2505511811024,1858.118388229861
DDO170,7.85,437.4471337579618,137.04811464968157,1657.9598709569402
DDO170,9.34,372.6980728051392,114.01157387580304,1479.9311597376452
DDO170,10.83,332.409972299169,89.9571006463527,1327.9314130804846
DDO170,12.33,313.77453365774534,68.55718572587185,1199.507000773428
ESO079-G014,0.41,2688.3902439024396,2056.064878048781,2669.729273595319
ESO079-G014,0.98,2592.0,2331.8450000000007,3200.4966806783
