Complexity,Loss,Equation
1,2.3639195,"3.643459"
3,1.6929983,"4.757045 - x1"
4,1.4909254,"log(x0) + 4.785027"
5,0.50840986,"x1 * (x0 * 12.362674)"
6,0.4661503,"exp((x2 * -1.642945) * x1)"
7,0.37601575,"x1 * ((x2 * -5.474115) - 0.49424908)"
8,0.35312796,"(sqrt(x2 * -72.60007) - 3.321668) * x1"
9,0.12956583,"exp((x1 * log(x2 * -3.3103352)) + 0.5072509)"
11,0.097514324,"exp((log(x2 * -3.2609253) * x1) * 1.3024822) + 0.848947"
12,0.09563736,"exp(log(x2 * -3.7207313) * (x1 * 1.199331)) + sqrt(x0)"
13,0.078875,"exp((log(x2 * -3.7351282) * x1) * 1.1724749) + (x0 - -0.3218368)"
14,0.058097724,"sqrt(exp(log(x2 * -3.70147) * (x1 * 2.5218925)) + (x0 / 0.14407243))"
16,0.05289043,"sqrt((exp(log(x2 * -3.6384566) * (x1 * 2.5599408)) + 0.31605905) - (x0 / -0.16090374))"
18,0.039877076,"sqrt(exp(log(x2 * -3.2205043) * ((x1 * 3.1027699) + -0.3857203)) - (x0 / -0.16047534)) + 0.3840357"
