galaxy,median_G_Required_Outer,mean_G_Required_Outer,median_G_Ratio_Outer,mean_G_Ratio_Outer,type,M_bary_Msun,g_req_per_1e10Msun,log10_mass,log10_median_G_required
CamB,0.7132584745860614,0.8140181295434543,0.2539735539566768,0.2898515541161966,Im,2500000000.0,2.8530338983442456,9.397940008672037,-0.1467530595669981
D512-2,2.750021604401537,2.647230228987692,0.9301435938374822,0.8953763253949717,Im,5000000000.0,5.500043208803074,9.698970004336019,0.4393361056977233
D564-8,5.3644017935627275,5.3644017935627275,1.8630495629666892,1.8630495629666892,Im,3500000000.0,15.32686226732208,9.544068044350276,0.7295212990438591
D631-7,7.707141008604561,7.6837124236699035,2.8502934811188028,2.8416290045202124,Im,1500000000.0,51.38094005736374,9.176091259055681,0.8868933048402511
DDO064,2.7924711784921272,2.7924711784921272,0.9943293417366356,0.9943293417366356,Im,2500000000.0,11.169884713968509,9.397940008672037,0.44598869939322444
DDO154,6.608751767482403,6.444992862930949,2.4440816718102356,2.383519533710381,Im,1500000000.0,44.058345116549354,9.176091259055681,0.8201194395633856
DDO161,3.1420909461027886,3.3723343547686815,1.0627537471322088,1.1406292922737864,Im,5000000000.0,6.284181892205577,9.698970004336019,0.497218751301972
DDO168,3.6955775613623225,3.6223738008946547,1.2982278872631985,1.2725119709514248,Im,3000000000.0,12.318591871207742,9.477121254719663,0.567682321515972
DDO170,3.2689494595621733,3.5819180979629266,1.13530177200853,1.2439953612349177,Im,3500000000.0,9.339855598749066,9.544068044350276,0.5144082061102137
ESO079-G014,1.7338769272805243,1.7339462330681528,0.6173903304836005,0.6174150085460716,Sbc,2500000000.0,6.935507709122097,9.397940008672037,0.23901826747706426
ESO116-G012,3.3586973455496034,3.46371337211515,1.242130270924468,1.2809678237340762,Sd,1500000000.0,22.39131563699736,9.176091259055681,0.5261708710403312
ESO444-G084,11.935736767717167,11.935736767717167,4.192932246609649,4.192932246609649,Im,3000000000.0,39.78578922572389,9.477121254719663,1.0768492322475194
ESO563-G021,2.3991156353704564,2.3605754979332403,inf,inf,Sbc,0.0,inf,-inf,0.3800511811037232
F561-1,0.8387154950158507,0.8758047243966204,0.2836798967297561,0.2962246378523988,Sm,5000000000.0,1.6774309900317015,9.698970004336019,-0.0763853334488354
F563-1,6.950707265739194,6.968357073259429,2.4749735049650345,2.4812581612324096,Sm,2500000000.0,27.802829062956775,9.397940008672037,0.8420289982562582
F563-V1,0.9093713746354138,0.9033609649825524,0.3075779321815143,0.3055450230487278,Im,5000000000.0,1.8187427492708277,9.698970004336019,-0.04125872071981104
F563-V2,4.632711883673361,4.565937758290131,1.5669285193238691,1.5443434149523605,Im,5000000000.0,9.265423767346721,9.698970004336019,0.6658352915215953
F565-V2,6.259142764031207,6.364841110995273,2.117038475464933,2.1527889728975644,Im,5000000000.0,12.518285528062414,9.698970004336019,0.7965148574366431
F567-2,1.662645414371041,1.7946600890969322,0.5623588478451393,0.6070103530523316,Sm,5000000000.0,3.325290828742082,9.698970004336019,0.22079963887571216
F568-1,4.552962157179461,4.636041303894185,1.621196272165152,1.650778684295722,Sc,2500000000.0,18.211848628717846,9.397940008672037,0.6582940406010868
F568-3,2.845943378710631,3.0300747903678515,0.9625873476393892,1.0248663685398405,Sd,5000000000.0,5.691886757421262,9.698970004336019,0.4542262553553818
F568-V1,4.757094918850432,5.025489865105217,1.6089987645782486,1.6997783568104239,Sd,5000000000.0,9.514189837700863,9.698970004336019,0.6773418170330419
F571-8,6.480560365954144,6.480560365954144,2.3075659195319713,2.3075659195319713,Sc,2500000000.0,25.922241463816576,9.397940008672037,0.8116125603952452
F571-V1,3.596754669069769,3.770873165398643,1.2165352841903765,1.2754276229522614,Sd,5000000000.0,7.193509338139538,9.698970004336019,0.555910816049579
F574-1,3.231782267013743,3.149235209633536,1.0930901661023795,1.0651701612233475,Sd,5000000000.0,6.463564534027486,9.698970004336019,0.5094420936187106
F574-2,0.7425078466063582,0.7143289567934344,0.2511394513372434,0.24160846663552607,Sm,5000000000.0,1.4850156932127163,9.698970004336019,-0.1292989524890841
F579-V1,2.4066946644674454,2.4066946644674454,0.8140196502072221,0.8140196502072221,Sc,5000000000.0,4.813389328934891,9.698970004336019,0.38142099515731337
