R_kpc,g_phi_R,g_N_R,g_tot_R
0.0,2.365769161522475e+17,0.0,2.365769161522475e+17
9.448818897637794,2.2108510164589642e+17,1008.217518472555,2.2108510164589744e+17
18.89763779527559,1.8107003533381962e+17,1568.723609732045,1.810700353338212e+17
28.346456692913385,1.814867733079968e+17,1328.5899893809974,1.8148677330799814e+17
37.79527559055118,1.6530051166953264e+17,1121.7432285582886,1.6530051166953376e+17
47.24409448818897,1.6409376140253002e+17,1077.274421696387,1.640937614025311e+17
56.69291338582677,1.5854511231586378e+17,1037.7997858502038,1.585451123158648e+17
66.14173228346456,1.4741468144143485e+17,1027.2294836720257,1.4741468144143587e+17
75.59055118110236,1.4920838451270845e+17,1021.3137812159877,1.4920838451270947e+17
85.03937007874015,1.382679651469681e+17,1005.1274635674135,1.382679651469691e+17
94.48818897637794,1.314617445344172e+17,994.3786178685372,1.3146174453441819e+17
103.93700787401573,1.2443111330959061e+17,979.4155936778823,1.2443111330959158e+17
113.38582677165354,1.197328646173896e+17,963.0444339243592,1.1973286461739056e+17
122.83464566929133,1.1625362203131381e+17,944.3386689074064,1.1625362203131475e+17
132.28346456692913,1.1219804260262442e+17,925.5059133589699,1.1219804260262534e+17
141.7322834645669,1.0649118640687706e+17,913.3104108240183,1.0649118640687797e+17
151.1811023622047,1.0079181466260752e+17,901.1247312935042,1.0079181466260842e+17
160.62992125984252,9.584381536561837e+16,887.7095734194905,9.584381536561925e+16
170.0787401574803,9.409485067690704e+16,877.996736944791,9.409485067690792e+16
179.5275590551181,8.462950337776646e+16,870.0175631401451,8.462950337776733e+16
188.97637795275588,7.928410307133576e+16,865.4363823617384,7.928410307133662e+16
198.4251968503937,6.859899164979668e+16,858.5874866279678,6.859899164979754e+16
207.87401574803147,6.45826115501413e+16,849.5406717220594,6.458261155014214e+16
217.32283464566927,5.645084235071789e+16,838.5893264288807,5.645084235071873e+16
226.77165354330708,5.213763991199013e+16,829.0679090891699,5.213763991199096e+16
