type,galaxies,points,median_percent_close_rootm,mean_percent_close_rootm
BCD,5,14,72.77646972216075,58.14774952828851
Im,39,148,82.89112944787891,73.39479709759478
S0,3,10,87.5062282876992,88.28647764980859
Sa,3,5,94.36296150038258,94.43653408063588
Sab,10,39,90.98105363891729,87.86603833733643
Sb,12,52,83.73033723020984,83.13450453339713
Sbc,18,65,81.95561660551694,77.42574043968968
Sc,16,48,85.50051145911884,82.6002691083232
Scd,16,98,89.63735622187258,86.64281992449524
Sd,16,78,91.65462318424818,90.29229613914829
Sdm,10,36,93.75020546168244,86.56359506481208
Sm,27,152,86.57771806782786,79.56907996821248
